BP label xstretch Turnover Error
0.04 1 102 4.275350101963166 0.22364698530634897
0.03 1 102 5.170754236368875 0.5050611202010766
0.02 1 102 8.868391471541267 0.6055620945554647
0.01 1 102 17.063578089731585 0.6097864365947991
0.007 1 102 17.198816482794772 1.9659794948709726
0.003 1 102 30.44913271446512 7.093371538399435
0.04 2 102 3.0603866540473126 0.18595213885644757
0.03 2 102 6.942727227563998 3.2502810525443073
0.02 2 102 5.784036575195972 0.16503933454212927
0.01 2 102 12.480539910087023 0.4130125579707027
0.007 2 102 12.485622462752222 5.2877501793228125
0.003 2 102 32.30235137147923 6.769358221373526
0.04 3 102 4.275350101963166 0.22364698530634897
0.03 3 102 5.170754236368875 0.5050611202010766
0.02 3 102 8.868391471541267 0.6055620945554647
0.01 3 102 17.063578089731585 0.6097864365947991
0.007 3 102 17.198816482794772 1.9659794948709726
0.003 3 102 30.44913271446512 7.093371538399435
0.04 4 102 4.275350101963166 0.22364698530634897
0.03 4 102 5.170754236368875 0.5050611202010766
0.02 4 102 8.868391471541267 0.6055620945554647
0.01 4 102 17.063578089731585 0.6097864365947991
0.007 4 102 17.198816482794772 1.9659794948709726
0.003 4 102 30.44913271446512 7.093371538399435
0.04 5 102 4.275350101963166 0.22364698530634897
0.03 5 102 5.170754236368875 0.5050611202010766
0.02 5 102 8.868391471541267 0.6055620945554647
0.01 5 102 17.063578089731585 0.6097864365947991
0.007 5 102 17.198816482794772 1.9659794948709726
0.003 5 102 30.44913271446512 7.093371538399435
