BP label xstretch Turnover Error
0.04 1 102 63.59885804679265 89.41992184550064
0.03 1 102 26.60682022434464 2.426016310811975
0.02 1 102 37.319453303275104 7.884662213313983
0.01 1 102 58.51944693149988 9.635773443296044
0.007 1 102 103.1471544494721 28.416964649465896
0.005 1 102 133.84711862041468 37.88914136607587
0.004 1 102 255.88641077441082 17.732776525725374
0.003 1 102 554.5473796296295 447.7958805822991
0.04 2 102 22.642962109100925 1.4048419526491789
0.03 2 102 26.762674977863487 2.1329971201146836
0.02 2 102 42.0984556156835 3.669496968870823
0.01 2 102 60.81905052765924 3.9213922188277155
0.007 2 102 107.0853645151961 12.812498599521497
0.005 2 102 134.07621313767496 33.83784074775387
0.004 2 102 266.8274404582129 42.02667844746221
0.003 2 102 390.4246317829457 153.24902871376352
0.04 3 76 28.596604574528513 2.9853312230405686
0.03 3 76 32.672378771482464 3.060436004357285
0.02 3 76 51.16305407314983 5.812875087666692
0.01 3 76 74.22489260462683 9.273419021290904
0.007 3 76 114.20361243372066 7.465996592943296
0.005 3 76 125.45792749946811 16.914730876727447
0.004 3 76 367.8033148763381 90.85061274835725
0.003 3 76 323.5453045404208 28.27562525039276
