time loss loss_std gain gain_std areagrowthrate
0 0 0 0 0 2.6301684
100000 0 0 2e-05 0 2.6301684
200000 0 0 0 0 2.6301684
300000 0 0 6.6666667e-06 4.7140452e-06 2.6301684
400000 2e-05 0 2e-05 1.6329932e-05 2.6301684
500000 0 0 1.3333333e-05 4.7140452e-06 2.6301684
600000 2e-05 0 5e-05 1.4142136e-05 2.6301684
700000 1.3333333e-05 9.4280904e-06 4.6666667e-05 4.7140452e-06 2.6301684
800000 6.6666667e-06 9.4280904e-06 3e-05 2.1602469e-05 2.6301684
900000 2e-05 0 6e-05 1.4142136e-05 2.6301684
1000000 0 0 8.6666667e-05 2.8674418e-05 2.6301684
1100000 6.6666667e-06 9.4280904e-06 0.00013666667 3.0912062e-05 2.6301684
1200000 2e-05 0 9.3333333e-05 1.2472191e-05 2.6301684
1300000 1.3333333e-05 9.4280904e-06 0.00011333333 1.8856181e-05 2.6301684
1400000 4.3333333e-05 1.2472191e-05 0.00017 4.0824829e-05 2.6301684
1500000 5e-05 2.1602469e-05 0.00018 8.1649658e-06 2.6301684
1600000 2.6666667e-05 9.4280904e-06 0.00022 7.2571804e-05 2.6301684
1700000 4e-05 2.8284271e-05 0.00018666667 3.2998316e-05 2.6301684
1800000 5.3333333e-05 9.4280904e-06 0.00023666667 8.8065632e-05 2.6301684
1900000 3.3333333e-05 1.8856181e-05 0.00033666667 5.7927157e-05 2.6301684
2000000 1.3333333e-05 9.4280904e-06 0.00034 4.9665548e-05 2.6301684
2100000 3.3333333e-05 9.4280904e-06 0.0004 2.9439203e-05 2.6301684
2200000 5.6666667e-05 1.2472191e-05 0.00036666667 4.189935e-05 2.6301684
2300000 6.3333333e-05 1.2472191e-05 0.00044 3.5590261e-05 2.6301684
2400000 8.6666667e-05 1.2472191e-05 0.00048666667 3.2998316e-05 2.6301684
2500000 0.00011 3.7416574e-05 0.00047666667 6.2360956e-05 2.6301684
2600000 9e-05 0 0.00059666667 8.3399973e-05 2.6301684
2700000 6e-05 2.8284271e-05 0.00070333333 0.00014817407 2.6301684
2800000 0.00012333333 2.8674418e-05 0.00080666667 0.00023170863 2.6301684
2900000 0.00014333333 1.2472191e-05 0.00096666667 0.00016996732 2.6301684
3000000 8.6666667e-05 4.027682e-05 0.0011366667 0.00012229291 2.6301684
3100000 0.00012333333 3.2998316e-05 0.0013333333 0.0001596524 2.6301684
3200000 0.00017666667 4.9888765e-05 0.0014066667 0.00012498889 2.6301684
3300000 0.00017333333 4.4969125e-05 0.0017133333 0.00022065559 2.6301684
3400000 0.00014666667 3.7712362e-05 0.00217 0.00024589971 2.6301684
3500000 0.00021333333 5.9066817e-05 0.0027166667 0.00028871362 2.6301684
3600000 0.00021 8.1649658e-06 0.00284 0.00024344746 2.6301684
3700000 0.00024666667 4.027682e-05 0.00363 0.00051439285 2.6301684
3800000 0.00026333333 3.681787e-05 0.0046766667 0.0008635328 2.6301684
3900000 0.00033666667 1.6996732e-05 0.0060133333 0.00059488561 2.6301684
