time loss loss_std gain gain_std areagrowthrate
0 0 0 0 0 1
100000 0 0 2e-05 0 1
200000 0 0 0 0 1
300000 0 0 0 0 1
400000 2e-05 0 0 0 1
500000 0 0 1e-05 0 1
600000 0 0 1.3333333e-05 9.4280904e-06 1
700000 2e-05 0 6.6666667e-06 4.7140452e-06 1
800000 0 0 1e-05 1.4142136e-05 1
900000 1.3333333e-05 9.4280904e-06 2.3333333e-05 2.6246693e-05 1
1000000 6.6666667e-06 9.4280904e-06 2.6666667e-05 1.2472191e-05 1
1100000 0 0 3e-05 2.1602469e-05 1
1200000 2e-05 0 5e-05 8.1649658e-06 1
1300000 0 0 3.3333333e-05 2.0548047e-05 1
1400000 0 0 7e-05 2.4494897e-05 1
1500000 1.3333333e-05 4.7140452e-06 6.6666667e-05 4.6427961e-05 1
1600000 2e-05 0 0.00011666667 2.3570226e-05 1
1700000 1.6666667e-05 1.2472191e-05 6.3333333e-05 4.027682e-05 1
1800000 1e-05 1.4142136e-05 4.3333333e-05 2.6246693e-05 1
1900000 2e-05 1.6329932e-05 0.00016666667 2.0548047e-05 1
2000000 2.6666667e-05 1.8856181e-05 0.00012 4.9665548e-05 1
2100000 2.6666667e-05 1.8856181e-05 0.00010666667 4.1096093e-05 1
2200000 3.3333333e-05 9.4280904e-06 0.00015666667 4.4969125e-05 1
2300000 2e-05 0 0.0001 2.1602469e-05 1
2400000 2e-05 8.1649658e-06 0.00015 7.788881e-05 1
2500000 3.6666667e-05 1.6996732e-05 0.00016 7.0710678e-05 1
2600000 2.6666667e-05 9.4280904e-06 0.00018 9.9331096e-05 1
2700000 3e-05 8.1649658e-06 0.00019333333 3.681787e-05 1
2800000 4.3333333e-05 4.7140452e-06 0.00021666667 7.1336449e-05 1
2900000 2.3333333e-05 1.2472191e-05 0.00027333333 0.00012256518 1
3000000 2.6666667e-05 3.7712362e-05 0.00028333333 0.00011440668 1
3100000 5.6666667e-05 1.2472191e-05 0.00026333333 5.1854497e-05 1
3200000 4.3333333e-05 3.2998316e-05 0.00031 0.00012727922 1
3300000 9.3333333e-05 4.027682e-05 0.00029666667 0.00010077478 1
3400000 3.6666667e-05 1.6996732e-05 0.00028666667 0.00012710451 1
3500000 3.6666667e-05 9.4280904e-06 0.00037666667 7.9302515e-05 1
3600000 7.3333333e-05 5.4365021e-05 0.00038333333 0.00011728408 1
3700000 5.3333333e-05 1.2472191e-05 0.00039333333 0.00011115555 1
3800000 6.6666667e-05 4.027682e-05 0.00053 0.00025311394 1
3900000 9e-05 4.2426407e-05 0.00048666667 0.00016739839 1
4000000 5.3333333e-05 1.8856181e-05 0.00065 0.0001979899 1
4100000 0.00011 7.788881e-05 0.00074333333 0.00027255988 1
4200000 0.00010333333 5.9066817e-05 0.00075666667 0.00022484563 1
4300000 9e-05 8.1649658e-06 0.00084 0.00010801234 1
4400000 0.00012333333 4.4969125e-05 0.0010633333 0.00019871811 1
4500000 0.00013666667 3.0912062e-05 0.00114 0.00027580186 1
4600000 0.00016 1.4142136e-05 0.00137 0.00035355339 1
4700000 0.00018333333 0.00011085526 0.0015266667 0.00039347455 1
4800000 0.00013 4.9665548e-05 0.0017466667 0.0005126619 1
4900000 0.00021 4.0824829e-05 0.0021233333 0.00065433597 1
5000000 0.00016666667 5.7348835e-05 0.0022433333 0.00047204049 1
5100000 0.00021333333 7.4087036e-05 0.00257 0.00061253571 1
5200000 0.00025666667 1.2472191e-05 0.00336 0.00086398302 1
5300000 0.00023 2.9439203e-05 0.0040566667 0.001016541 1
5400000 0.00033333333 7.7172246e-05 0.00477 0.0015014882 1
5500000 0.00030333333 7.8457349e-05 0.0056733333 0.0018330727 1
