time loss_PerArea loss_std gain_PerArea gain_std areagrowthrate
0 0 0 0 0 2.6301684
100000 0 0 6.1354737e-08 2.5793081e-10 2.6301684
200000 0 0 0 0 2.6301684
300000 0 0 1.7237068e-08 1.218848e-08 2.6301684
400000 4.7309074e-08 1.1358661e-10 4.7229442e-08 3.8496723e-08 2.6301684
500000 0 0 2.8990568e-08 1.0312403e-08 2.6301684
600000 3.9981922e-08 2.1200692e-10 9.9897708e-08 2.8031988e-08 2.6301684
700000 2.4795502e-08 1.7535153e-08 8.6323611e-08 7.9739385e-09 2.6301684
800000 1.1428491e-08 1.6162327e-08 5.1603274e-08 3.6863815e-08 2.6301684
900000 3.2843041e-08 5.6491229e-10 9.8757169e-08 2.4084572e-08 2.6301684
1000000 0 0 1.3529844e-07 4.2785749e-08 2.6301684
1100000 9.8127004e-09 1.3877254e-08 2.0400968e-07 4.2927321e-08 2.6301684
1200000 2.8866174e-08 7.5832682e-10 1.3456791e-07 1.6946724e-08 2.6301684
1300000 1.8856088e-08 1.3354621e-08 1.5880876e-07 2.3313139e-08 2.6301684
1400000 5.8978969e-08 1.6294066e-08 2.3074601e-07 4.8848462e-08 2.6301684
1500000 6.5717181e-08 2.7617635e-08 2.3953773e-07 1.5484257e-08 2.6301684
1600000 3.41944e-08 1.3436702e-08 2.7486244e-07 7.8766433e-08 2.6301684
1700000 4.6501535e-08 3.0864298e-08 2.2350876e-07 4.0710321e-08 2.6301684
1800000 6.0417758e-08 9.6254151e-09 2.6533724e-07 8.6657495e-08 2.6301684
1900000 3.6709493e-08 2.199652e-08 3.6313757e-07 5.9582563e-08 2.6301684
2000000 1.3987327e-08 9.8971325e-09 3.4682047e-07 5.3390719e-08 2.6301684
2100000 3.1822242e-08 8.222864e-09 3.8498503e-07 2.2432096e-08 2.6301684
2200000 5.167062e-08 9.8583289e-09 3.362263e-07 3.5256502e-08 2.6301684
2300000 5.5489678e-08 9.5722869e-09 3.8709776e-07 3.2683963e-08 2.6301684
2400000 7.3387518e-08 1.3357814e-08 4.0875065e-07 1.3059756e-08 2.6301684
2500000 8.7818951e-08 2.7210464e-08 3.824703e-07 4.2562632e-08 2.6301684
2600000 6.8868206e-08 3.373508e-09 4.5399329e-07 4.9307394e-08 2.6301684
2700000 4.3181767e-08 2.0569401e-08 5.0051724e-07 8.0493626e-08 2.6301684
2800000 8.2360805e-08 1.3938773e-08 5.3732272e-07 1.2682343e-07 2.6301684
2900000 9.1007584e-08 9.3127085e-09 6.0820457e-07 7.1896902e-08 2.6301684
3000000 5.1000511e-08 2.4692078e-08 6.6331337e-07 3.2140578e-08 2.6301684
3100000 6.4497114e-08 1.6647263e-08 6.9865525e-07 4.8700857e-08 2.6301684
3200000 8.2114968e-08 1.9315455e-08 6.6059205e-07 1.9986327e-08 2.6301684
3300000 7.2301968e-08 1.4981815e-08 7.1887271e-07 5.1928033e-08 2.6301684
3400000 5.5729862e-08 1.7677963e-08 8.0710976e-07 3.3001181e-08 2.6301684
3500000 6.8589721e-08 1.6374669e-08 8.8086844e-07 2.2586222e-08 2.6301684
3600000 5.9604842e-08 6.7954266e-09 7.9846891e-07 1.9335817e-08 2.6301684
3700000 5.9045274e-08 8.6942415e-09 8.6479411e-07 4.1314823e-08 2.6301684
3800000 5.3119225e-08 4.0878837e-09 9.3691484e-07 6.5598826e-08 2.6301684
3900000 5.7940802e-08 9.0064229e-09 1.0189302e-06 3.8460314e-08 2.6301684
