time loss_PerMon loss_std gain_PerMon gain_std areagrowthrate
0 0 0 0 0 1.5574935
100000 0 0 9.0456807e-09 1.2792524e-08 1.5574935
200000 0 0 1.7660168e-08 1.2487756e-08 1.5574935
300000 0 0 0 0 1.5574935
400000 2.4263688e-08 2.0099465e-10 1.2131844e-08 1.0049732e-10 1.5574935
500000 0 0 3.8358266e-09 5.424678e-09 1.5574935
600000 0 0 7.2859745e-09 1.0303924e-08 1.5574935
700000 2.0238429e-08 2.1780829e-10 2.3471641e-08 1.7139023e-08 1.5574935
800000 0 0 3.1269299e-08 4.8289309e-09 1.5574935
900000 1.7581454e-08 1.6873329e-10 3.2194669e-08 3.876587e-09 1.5574935
1000000 0 0 5.2508135e-08 9.6644617e-09 1.5574935
1100000 1.5709717e-08 2.1483156e-10 3.6672186e-08 9.7867825e-09 1.5574935
1200000 0 0 4.5254798e-08 5.6824795e-09 1.5574935
1300000 9.6907875e-09 6.8533389e-09 1.0149012e-07 1.7018381e-08 1.5574935
1400000 1.6457599e-08 3.4398581e-09 6.815977e-08 1.2407008e-08 1.5574935
1500000 4.5819015e-09 6.4797872e-09 8.4952716e-08 8.3205102e-09 1.5574935
1600000 1.7840533e-08 6.2537807e-09 8.7032826e-08 5.1184116e-09 1.5574935
1700000 1.7299289e-08 6.1578829e-09 1.1239478e-07 2.3997255e-08 1.5574935
1800000 1.8844709e-08 5.0772478e-09 1.1738331e-07 3.1762087e-09 1.5574935
1900000 2.3925e-08 1.9342844e-10 6.7604036e-08 2.2658944e-08 1.5574935
2000000 2.0970814e-08 2.8911372e-09 1.4481582e-07 2.0328686e-08 1.5574935
2100000 1.8221592e-08 5.1283269e-09 7.8339926e-08 9.8296899e-09 1.5574935
2200000 2.0986544e-08 8.5499303e-09 1.4345954e-07 2.1919247e-08 1.5574935
2300000 2.1847352e-08 1.4475481e-08 1.4942667e-07 2.3730052e-08 1.5574935
2400000 7.9752663e-09 5.9732983e-09 1.4316899e-07 2.3985638e-08 1.5574935
2500000 8.974489e-09 3.6132043e-09 1.7057504e-07 1.5057361e-08 1.5574935
2600000 2.4125136e-08 1.9049436e-08 1.2733168e-07 1.6848106e-08 1.5574935
2700000 3.1814966e-08 8.1122822e-09 1.5561773e-07 2.7934438e-08 1.5574935
2800000 1.7431284e-08 9.6686517e-09 1.336879e-07 1.0634258e-08 1.5574935
2900000 1.611158e-08 1.1986292e-08 1.7149896e-07 3.1683641e-08 1.5574935
3000000 3.6464677e-08 3.1773617e-09 1.513601e-07 2.1494534e-08 1.5574935
3100000 2.2653205e-08 9.3375942e-09 1.847639e-07 1.3151717e-08 1.5574935
3200000 2.2302611e-08 5.6121043e-09 2.0822761e-07 7.7388905e-08 1.5574935
3300000 2.0262556e-08 8.44103e-09 2.0376638e-07 4.5748076e-08 1.5574935
3400000 3.4609018e-08 7.1071909e-09 2.5002995e-07 4.0501311e-08 1.5574935
3500000 3.703635e-08 6.9250938e-09 2.4389742e-07 5.1036398e-09 1.5574935
3600000 2.5494852e-08 6.6192133e-09 2.1248876e-07 6.6224023e-08 1.5574935
3700000 2.7497498e-08 5.3603931e-09 2.4237342e-07 2.487262e-08 1.5574935
3800000 1.9623383e-08 9.6422315e-09 2.7499621e-07 2.7634487e-08 1.5574935
3900000 3.2850319e-08 6.9086308e-09 2.9061577e-07 4.0837958e-08 1.5574935
4000000 2.8944471e-08 6.2673975e-09 2.6537551e-07 3.554907e-08 1.5574935
4100000 3.4029551e-08 4.7105909e-09 2.8860649e-07 4.9047949e-08 1.5574935
4200000 2.5744573e-08 4.1244926e-09 3.1174171e-07 4.6967908e-08 1.5574935
4300000 2.1733499e-08 7.4683447e-10 3.0948826e-07 1.9584996e-08 1.5574935
4400000 2.7951243e-08 7.0395057e-09 3.2220306e-07 3.8358752e-08 1.5574935
4500000 2.7574599e-08 4.4749183e-09 3.5493987e-07 2.2001209e-08 1.5574935
4600000 1.8133511e-08 3.9683424e-09 3.5824573e-07 3.5950305e-08 1.5574935
4700000 1.9811508e-08 3.591762e-09 3.7563418e-07 4.8702387e-08 1.5574935
