time Area Area_std
200 300 0
400 300.04381 0.0085987782
600 300.07859 0.013598573
800 300.12599 0.015403045
1000 300.16966 0.025418823
1200 300.20632 0.027231413
1400 300.22739 0.026311627
1600 300.25318 0.022542482
1800 300.28052 0.017157581
2000 300.31342 0.034706917
2200 300.3499 0.030609999
2400 300.38687 0.031070861
2600 300.41628 0.028424334
2800 300.44368 0.015265418
3000 300.46971 0.011760742
3200 300.48811 0.010119234
3400 300.51732 0.010702393
3600 300.55269 0.020892694
3800 300.58781 0.021483935
4000 300.62849 0.02362807
4200 300.66073 0.023054118
4400 300.68178 0.031057682
4600 300.71868 0.025925174
4800 300.74456 0.026439036
5000 300.76893 0.025242655
5200 300.79507 0.030456506
5400 300.82204 0.030744453
5600 300.84696 0.032234889
5800 300.8713 0.023985791
6000 300.90843 0.040080152
6200 300.93543 0.038511182
6400 300.97255 0.037148146
6600 301.00585 0.026667822
6800 301.04687 0.025518044
7000 301.08118 0.021028004
7200 301.10621 0.024261339
7400 301.12307 0.03979694
7600 301.14763 0.053846844
7800 301.17757 0.04758636
8000 301.20195 0.056291128
8200 301.22464 0.058666217
8400 301.25947 0.058087076
8600 301.28078 0.062035911
8800 301.30673 0.066121488
9000 301.34266 0.070484856
9200 301.37465 0.088628091
9400 301.41283 0.093300426
9600 301.44658 0.10879484
9800 301.46599 0.10463159
10000 301.49268 0.10268081
10200 301.52407 0.10203516
10400 301.55628 0.10016922
10600 301.59244 0.09267962
10800 301.6267 0.10339244
11000 301.65624 0.11253859
11200 301.68726 0.11381041
11400 301.72295 0.10869531
11600 301.7466 0.1131383
11800 301.76353 0.10784002
12000 301.78929 0.10569638
12200 301.81491 0.10331699
12400 301.83403 0.11784065
12600 301.85575 0.12754436
12800 301.87831 0.12672235
13000 301.90034 0.13039576
13200 301.93071 0.13350645
13400 301.95359 0.1247326
13600 301.9892 0.12093264
13800 302.02911 0.12483783
14000 302.06806 0.12005143
14200 302.11908 0.11831095
14400 302.16168 0.10791773
14600 302.18827 0.11031972
14800 302.22008 0.10353363
15000 302.24751 0.085425594
15200 302.27161 0.074013478
15400 302.29833 0.050360867
15600 302.33869 0.030970507
15800 302.37872 0.010500048
16000 302.42874 0.011138418
16200 302.4529 0.02411049
16400 302.48101 0.029349507
16600 302.51524 0.028751003
16800 302.54212 0.035419247
17000 302.57834 0.029056906
17200 302.60913 0.015432116
17400 302.64714 0.018585635
17600 302.67455 0.028726085
17800 302.69653 0.04473404
18000 302.72492 0.059068973
18200 302.76157 0.076223977
18400 302.79458 0.080745796
18600 302.8249 0.091264223
18800 302.85652 0.090920578
19000 302.89208 0.095025537
19200 302.91365 0.089952902
19400 302.93615 0.073266948
19600 302.95916 0.064784245
19800 302.97692 0.059373963
20000 302.99315 0.067998018
20200 303.01047 0.082380389
20400 303.03505 0.088789373
20600 303.0659 0.10547039
20800 303.09215 0.11575652
21000 303.10893 0.11252325
21200 303.12429 0.10937767
21400 303.15415 0.10834213
21600 303.18858 0.10452023
21800 303.22126 0.094985964
22000 303.25523 0.088559813
22200 303.30208 0.080211251
22400 303.33174 0.067871921
22600 303.37795 0.066595939
22800 303.41924 0.056292147
23000 303.46326 0.032713212
23200 303.48353 0.024003442
23400 303.50296 0.026202933
23600 303.53181 0.025890977
23800 303.56383 0.01923015
24000 303.59751 0.021264898
24200 303.63912 0.027612688
24400 303.68521 0.034351939
24600 303.73287 0.051731438
