Time Strain Concentration
0 -4.369893e-09 0.20111111
200 4.4874992e-05 0.20109306
400 0.00014455478 0.20105298
600 0.00021140331 0.20102611
800 0.00027770758 0.20099946
1000 0.00031893832 0.20098289
1200 0.00039453847 0.20095251
1400 0.00047613105 0.20091974
1600 0.0005654403 0.20088387
1800 0.00064965774 0.20085006
2000 0.00072335438 0.20082048
2200 0.00080439244 0.20078796
2400 0.00088233237 0.20075669
2600 0.00097607434 0.20071909
2800 0.00099916863 0.20070982
3000 0.0010530533 0.20068822
3200 0.0011351079 0.20065532
3400 0.0011790971 0.20063769
3600 0.0012460394 0.20061086
3800 0.0013182486 0.20058193
4000 0.0013797579 0.20055729
4200 0.0014591072 0.20052551
4400 0.0015384409 0.20049374
4600 0.0015992555 0.20046939
4800 0.0016894636 0.20043329
5000 0.0017540455 0.20040745
5200 0.0017855579 0.20039484
5400 0.0018744666 0.20035927
5600 0.001906727 0.20034637
5800 0.0019860302 0.20031466
6000 0.0020246611 0.20029921
6200 0.002088363 0.20027375
6400 0.0021143863 0.20026335
6600 0.002164666 0.20024325
6800 0.0022333237 0.20021582
7000 0.002295383 0.20019103
7200 0.0023540595 0.20016759
7400 0.0024064693 0.20014666
7600 0.0024422879 0.20013236
7800 0.0024677669 0.20012218
8000 0.0025053411 0.20010718
8200 0.0025491991 0.20008967
8400 0.0026016273 0.20006875
8600 0.0026476668 0.20005038
8800 0.0026978419 0.20003035
9000 0.0027182121 0.20002223
9200 0.0027509359 0.20000917
9400 0.002781616 0.19999693
9600 0.0028173761 0.19998267
9800 0.0028746995 0.19995981
10000 0.0029153477 0.1999436
10200 0.0029617841 0.19992509
10400 0.0030237396 0.19990039
10600 0.0030829311 0.1998768
10800 0.003121889 0.19986127
11000 0.003146305 0.19985154
11200 0.0031764045 0.19983955
11400 0.0031704587 0.19984192
11600 0.0032112686 0.19982566
11800 0.0032708387 0.19980193
12000 0.0033145579 0.19978452
12200 0.0033610721 0.199766
12400 0.0033844575 0.19975669
