Time Strain Concentration
0 -4.369893e-09 0.2
200 5.9278457e-05 0.19997629
400 0.00013939303 0.19994425
600 0.00018765704 0.19992496
800 0.00022196387 0.19991124
1000 0.00027206756 0.19989122
1200 0.00033798234 0.19986488
1400 0.00037514442 0.19985003
1600 0.00039818775 0.19984082
1800 0.00039987507 0.19984015
2000 0.00046523536 0.19981404
2200 0.00053630612 0.19978565
2400 0.00060598221 0.19975783
2600 0.00066256476 0.19973524
2800 0.00074367294 0.19970286
3000 0.00082405651 0.19967078
3200 0.00092156283 0.19963188
3400 0.00097898636 0.19960898
3600 0.00099959966 0.19960076
3800 0.0010199598 0.19959264
4000 0.0010918397 0.19956398
4200 0.0011896037 0.19952501
4400 0.001244568 0.1995031
4600 0.0012965059 0.1994824
4800 0.0013181512 0.19947378
5000 0.0013518831 0.19946034
5200 0.0013369899 0.19946627
5400 0.0013839327 0.19944757
5600 0.0014241387 0.19943156
5800 0.0014403688 0.19942509
6000 0.0014789695 0.19940972
6200 0.0015424985 0.19938443
6400 0.0015892438 0.19936581
6600 0.0016695963 0.19933383
6800 0.0017093081 0.19931803
7000 0.0017913836 0.19928537
7200 0.0019043711 0.19924042
7400 0.0019729944 0.19921313
7600 0.0020293658 0.19919072
7800 0.0021080808 0.19915943
8000 0.0022030514 0.19912168
8200 0.0022743541 0.19909335
8400 0.0023123298 0.19907827
8600 0.0023897585 0.19904751
8800 0.0024730096 0.19901445
9000 0.0025662121 0.19897745
9200 0.0026302224 0.19895205
9400 0.0027170406 0.1989176
9600 0.0028037577 0.1988832
9800 0.0029036214 0.19884359
10000 0.0030220225 0.19879665
10200 0.0030802653 0.19877356
10400 0.0031827504 0.19873295
10600 0.0032537646 0.19870482
10800 0.0032954916 0.19868829
11000 0.0033824683 0.19865385
11200 0.0034541233 0.19862548
11400 0.0035155349 0.19860117
11600 0.00358044 0.19857548
11800 0.0036455637 0.19854971
12000 0.0037184952 0.19852086
12200 0.0037678477 0.19850134
12400 0.0037855446 0.19849434
12600 0.003844059 0.1984712
12800 0.0038294496 0.19847697
13000 0.0038721044 0.19846011
13200 0.0039286723 0.19843774
13400 0.0039819803 0.19841667
13600 0.0039924803 0.19841252
13800 0.0040091337 0.19840594
14000 0.0040548758 0.19838786
14200 0.0041527715 0.19834918
14400 0.0041886439 0.19833501
14600 0.0042311626 0.19831822
14800 0.0042434205 0.19831337
15000 0.004262532 0.19830583
15200 0.0043011943 0.19829056
15400 0.0043261156 0.19828072
15600 0.0043772144 0.19826054
15800 0.004447103 0.19823295
16000 0.0045035067 0.19821069
16200 0.004551963 0.19819157
16400 0.0045916935 0.1981759
16600 0.0046324179 0.19815983
16800 0.0047373061 0.19811846
17000 0.0047836442 0.19810019
17200 0.0048102938 0.19808968
17400 0.0048750903 0.19806413
17600 0.0049359434 0.19804015
17800 0.0050137316 0.19800949
18000 0.0050715416 0.19798671
18200 0.0051679017 0.19794875
18400 0.005227377 0.19792533
18600 0.0053031169 0.19789551
18800 0.005388362 0.19786195
19000 0.0054172406 0.19785059
19200 0.0054355986 0.19784336
19400 0.0055090531 0.19781446
