Time Strain Concentration
0 -4.369893e-09 0.2
60 1.6436734e-05 0.20027119
120 4.1617049e-05 0.20026111
180 6.246941e-05 0.20025276
240 8.6855277e-05 0.20024299
300 0.00011628306 0.20023121
360 0.00013552921 0.1999458
420 0.00017194258 0.20020892
480 0.00019786441 0.20019855
540 0.00023288176 0.20018453
600 0.00026430027 0.20017195
660 0.00029235021 0.20016073
720 0.00032308975 0.20014843
780 0.00034564913 0.19986181
840 0.00036584817 0.19957617
900 0.00038730229 0.19956761
960 0.00041053046 0.19955834
1020 0.00043309 0.19982688
1080 0.00044854358 0.1998207
1140 0.00044700323 0.20009885
1200 0.0004465374 0.20037656
1260 0.00044296273 0.20010046
1320 0.00045192597 0.19954183
1380 0.00046528083 0.19981402
1440 0.00047775218 0.20008655
1500 0.00050541978 0.19979799
1560 0.00052226878 0.19979126
1620 0.00054230009 0.19978326
1680 0.00054292467 0.19978301
1740 0.00054538377 0.2000595
1800 0.00055198047 0.19977939
1860 0.00055277305 0.19977907
1920 0.00056497199 0.20032913
1980 0.00058252017 0.20004465
2040 0.00058686789 0.20004291
2100 0.00059075193 0.20031881
2160 0.00056933603 0.20032738
2220 0.00058011002 0.20004561
2280 0.00061327563 0.20030979
2340 0.00063554434 0.20002345
2400 0.00065650017 0.20029249
2460 0.00065158381 0.20001704
2520 0.00066439144 0.20028933
2580 0.00066934283 0.20028734
2640 0.00068927138 0.20027937
2700 0.00069083345 0.20000135
2760 0.00069847325 0.19999829
2820 0.00071499039 0.19999169
2880 0.00073328651 0.19998438
2940 0.00074584875 0.20025672
3000 0.00073783265 0.19998256
3060 0.00074875624 0.1999782
3120 0.00076052869 0.2005282
3180 0.00075967686 0.20025119
3240 0.00075968461 0.20025118
3300 0.00076622945 0.20052592
3360 0.00077920563 0.20052072
3420 0.00079095644 0.20051601
3480 0.0008056969 0.20023277
3540 0.00081058129 0.20023082
3600 0.00081828457 0.19995041
3660 0.00083220337 0.20049948
3720 0.00082723367 0.20050147
3780 0.00082695418 0.20105622
3840 0.00082371724 0.2007802
3900 0.00084448047 0.20021725
3960 0.00085013363 0.19966038
4020 0.00086611758 0.1999313
4080 0.00087475502 0.20020514
4140 0.00090635302 0.19991523
4200 0.00092687629 0.19962976
4260 0.00093541746 0.1993491
4320 0.00094394141 0.1993457
4380 0.00095763872 0.199063
4440 0.00097339689 0.19961121
4500 0.00096824688 0.19961326
4560 0.00098575478 0.19960628
4620 0.00099766217 0.19987876
4680 0.0010026965 0.19987675
4740 0.0010139276 0.19959504
4800 0.0010144532 0.19959484
4860 0.0010206259 0.19986959
4920 0.0010361618 0.19986338
4980 0.0010363925 0.19958609
5040 0.0010402863 0.20013894
5100 0.0010457606 0.19985955
5160 0.0010450857 0.20013702
5220 0.0010419428 0.20041547
5280 0.0010503271 0.20013492
5340 0.0010713689 0.20012651
5400 0.0010862063 0.20012057
5460 0.001100781 0.19983758
5520 0.0011212785 0.19927509
5580 0.0011484595 0.19954141
5640 0.0011748386 0.19925377
5700 0.0012036878 0.19924228
5760 0.0012080782 0.19951764
5820 0.0012203482 0.19923565
5880 0.0012341402 0.19895307
5940 0.0012475655 0.19922482
6000 0.0012557771 0.19949863
6060 0.0012612569 0.19949645
6120 0.0012657492 0.19949466
6180 0.0012714854 0.19949237
6240 0.0012969793 0.19948222
6300 0.0013061054 0.19947858
6360 0.0013245002 0.19974829
6420 0.0013421495 0.19946422
6480 0.0013564246 0.19945853
6540 0.0013776255 0.19945009
6600 0.0013819007 0.19944838
6660 0.0013984327 0.19888779
6720 0.0014063514 0.19888465
6780 0.0014160823 0.19915778
6840 0.0014550383 0.19886531
6900 0.0014717288 0.19885868
6960 0.0014845153 0.19913056
7020 0.0014989831 0.19912481
7080 0.0014997752 0.19884754
7140 0.0015217717 0.19883881
7200 0.0015545624 0.19882579
7260 0.0015847518 0.1993676
7320 0.0016019593 0.19908386
7380 0.0016247072 0.19962857
7440 0.0016276131 0.19962742
7500 0.0016329188 0.1996253
7560 0.0016401765 0.19962241
7620 0.0016448894 0.1998974
7680 0.0016471421 0.1998965
7740 0.0016537771 0.20017071
7800 0.001665986 0.20016583
7860 0.0016857882 0.19932739
7920 0.0017017629 0.19959786
7980 0.001721083 0.19903652
8040 0.0017509813 0.19930144
8100 0.0018016407 0.19928129
8160 0.0018257015 0.19927171
8220 0.0018530787 0.19926082
8280 0.0018724035 0.19952988
8340 0.0019017976 0.19951817
8400 0.0019184345 0.19951154
8460 0.0019360417 0.19922783
8520 0.001951026 0.19922187
8580 0.0019542705 0.19922058
8640 0.0019720239 0.19921352
8700 0.0019838696 0.19893213
8760 0.0019970367 0.1989269
8820 0.0020182643 0.19891847
8880 0.0020232443 0.19919315
8940 0.0020368507 0.19918774
9000 0.002062076 0.19945435
9060 0.002069709 0.19945131
9120 0.002084361 0.1997221
9180 0.0020831509 0.19972258
9240 0.0020951848 0.19971779
9300 0.0021155042 0.19970969
9360 0.0021277159 0.19942822
9420 0.0021347746 0.19942541
9480 0.0021396401 0.19942348
9540 0.0021564602 0.19941678
9600 0.0021743929 0.19940965
9660 0.0021910007 0.1996796
9720 0.0022040408 0.19939785
9780 0.0022091699 0.19939581
9840 0.0022038261 0.19939793
9900 0.0022006957 0.19912262
9960 0.0022076579 0.1988433
10020 0.0022298078 0.19883451
10080 0.0022543033 0.19937785
10140 0.0022602383 0.19992854
10200 0.0022606996 0.19992836
10260 0.0022618008 0.20020444
10320 0.0022591022 0.20020552
10380 0.0022653461 0.20047955
10440 0.0022480171 0.20020995
10500 0.0022475071 0.20048669
10560 0.0022355465 0.20049147
10620 0.0022357265 0.20021486
10680 0.0022451216 0.20076417
10740 0.0022521297 0.20020831
10800 0.002251375 0.20048514
10860 0.00226523 0.2004796
10920 0.002272961 0.20102954
10980 0.002285245 0.20102461
11040 0.0022874056 0.20074724
11100 0.0023072379 0.20073929
11160 0.0023177276 0.20073509
11220 0.0023374926 0.20100366
11280 0.0023470093 0.20099984
11340 0.0023606797 0.20016494
11400 0.0023573033 0.19988982
11460 0.0023537992 0.19989122
11520 0.0023712295 0.19988427
11580 0.0023876414 0.19987772
11640 0.0024147201 0.19986692
11700 0.0024301522 0.1993079
11760 0.0024441569 0.19930233
11820 0.0024695706 0.19901582
11880 0.0024871382 0.19928525
11940 0.0025105091 0.19927595
12000 0.0025278572 0.19954544
12060 0.0025463947 0.19926169
12120 0.0025621981 0.19953177
12180 0.0025715431 0.19952805
12240 0.002595789 0.20007108
12300 0.0026029236 0.19951556
12360 0.0026098147 0.19951281
12420 0.0026266376 0.19922979
12480 0.0026232565 0.19895481
12540 0.0026336009 0.19922703
12600 0.0026459322 0.19922213
12660 0.0026736408 0.19893482
12720 0.0027004449 0.19892418
12780 0.0027134467 0.19891902
12840 0.0027290686 0.19918909
12900 0.0027515632 0.19918016
12960 0.0027732323 0.19917155
13020 0.0028070202 0.19943435
13080 0.0028289776 0.19914941
13140 0.0028502639 0.19914095
13200 0.0028718173 0.1988562
13260 0.0028978821 0.19884587
13320 0.0029169755 0.1988383
13380 0.0029311911 0.19883266
13440 0.0029504059 0.19882504
13500 0.0029741774 0.19881562
13560 0.0029887895 0.19880982
13620 0.0030131752 0.19880016
13680 0.0030354575 0.19851522
13740 0.0030680049 0.19850234
13800 0.0030986186 0.19821416
13860 0.003118094 0.19820646
13920 0.0031316258 0.19820112
13980 0.0031455155 0.19902374
14040 0.0031765226 0.19901144
14100 0.0031987742 0.19900261
14160 0.0032170298 0.19899537
14220 0.0032446014 0.19870845
14280 0.0032771612 0.19869555
14340 0.0033075835 0.19840755
14400 0.0033435696 0.19839332
14460 0.0033796836 0.19865495
14520 0.0033938405 0.19892525
14580 0.0034168736 0.19864022
14640 0.0034304716 0.19863484
14700 0.0034595675 0.19862332
14760 0.0034936503 0.19860983
14820 0.0035321906 0.19859457
14880 0.0035561329 0.1985851
14940 0.0035854171 0.1991251
15000 0.0036119601 0.19911457
15060 0.0036237553 0.19910989
15120 0.003629315 0.19938346
15180 0.0036529142 0.19937408
15240 0.0036783506 0.19936397
15300 0.0036995973 0.1990798
15360 0.0037205823 0.19879575
15420 0.0037369057 0.199065
15480 0.0037616274 0.1993309
15540 0.0037775228 0.19904889
15600 0.0037995689 0.19904015
15660 0.0038139965 0.19903443
15720 0.0038437845 0.19902261
15780 0.0038751315 0.19873455
15840 0.0039146095 0.19816769
15900 0.0039490579 0.19787849
15960 0.0039862079 0.198415
16020 0.0040084214 0.19895735
16080 0.0040308566 0.19839735
16140 0.004045917 0.19866695
16200 0.0040737231 0.19865594
