Time AvStrain StdStrain Time_1e5
0 -4.369893e-09 0 0
200 5.6690021e-05 2.4588428e-05 0.002
400 0.00011676756 1.9294148e-05 0.004
600 0.00018377528 1.8331317e-05 0.006
800 0.00023781982 2.0223911e-05 0.008
1000 0.00028520656 3.1482621e-05 0.01
1200 0.00030876041 2.4999453e-05 0.012
1400 0.00035351763 1.8556011e-05 0.014
1600 0.00039104563 3.5512292e-05 0.016
1800 0.00044699151 6.6236665e-05 0.018
2000 0.00048489616 5.655628e-05 0.02
2200 0.000533335 7.4300872e-05 0.022
2400 0.00057753081 7.6476962e-05 0.024
2600 0.00063818753 8.8240725e-05 0.026
2800 0.00070954877 9.2816985e-05 0.028
3000 0.00075265262 0.00010519206 0.03
3200 0.00077701652 0.00010454792 0.032
3400 0.00080487719 0.00011654827 0.034
3600 0.00081414179 0.00012142657 0.036
3800 0.00086050671 0.00012510404 0.038
4000 0.00092057333 0.00014572618 0.04
4200 0.00096086313 0.00018736991 0.042
4400 0.0010255032 0.0002229743 0.044
4600 0.001074982 0.00025010731 0.046
4800 0.0011088523 0.00027352797 0.048
5000 0.0011784057 0.00029022539 0.05
5200 0.0012272946 0.00029536801 0.052
5400 0.001289293 0.00031590003 0.054
5600 0.0013587214 0.00031061602 0.056
5800 0.0014016674 0.00031326804 0.058
6000 0.0014375407 0.00031465788 0.06
6200 0.0015013548 0.00033664585 0.062
6400 0.0015646017 0.00035921488 0.064
6600 0.001638482 0.00038344205 0.066
6800 0.0017022916 0.00040000883 0.068
7000 0.001752243 0.0004153033 0.07
7200 0.0018136528 0.00043089624 0.072
7400 0.0018684023 0.00041771054 0.074
7600 0.0019249142 0.0004333604 0.076
7800 0.0019891954 0.00043634106 0.078
8000 0.0020882305 0.0004196139 0.08
8200 0.0021760061 0.00040941114 0.082
8400 0.0022515753 0.00041025933 0.084
8600 0.0023171983 0.00036855699 0.086
8800 0.0023639051 0.00035761095 0.088
9000 0.0024332926 0.00037808993 0.09
9200 0.0024950955 0.00039751895 0.092
9400 0.0025743808 0.00039362758 0.094
9600 0.0026456214 0.00038887009 0.096
9800 0.0026891194 0.00036970367 0.098
10000 0.0027306862 0.00035328115 0.1
10200 0.0027700033 0.00035484417 0.102
10400 0.0028421648 0.00035937422 0.104
10600 0.0028880898 0.00037639039 0.106
10800 0.0029401066 0.00038982758 0.108
11000 0.0029870729 0.00037506731 0.11
11200 0.0030535929 0.00038950313 0.112
11400 0.0031199495 0.00039771398 0.114
11600 0.0031665573 0.00041657454 0.116
11800 0.0032148298 0.00042209683 0.118
12000 0.0032610946 0.00042057235 0.12
12200 0.0033037383 0.00042648827 0.122
12400 0.0033491809 0.00042566358 0.124
12600 0.0033899845 0.00041971077 0.126
12800 0.0034530058 0.00039912706 0.128
13000 0.0035317431 0.00039830285 0.13
13200 0.0036018753 0.00039471755 0.132
13400 0.0036583182 0.00039074022 0.134
13600 0.0037174358 0.00040117117 0.136
13800 0.0037682864 0.00043806969 0.138
14000 0.0038220305 0.00044118424 0.14
14200 0.0038946534 0.00045493034 0.142
14400 0.0039713888 0.00045314908 0.144
14600 0.0040552644 0.00045641258 0.146
14800 0.0041298461 0.00048835714 0.148
15000 0.0042086758 0.00050288165 0.15
15200 0.0042844344 0.00050497808 0.152
15400 0.0043392558 0.00049244669 0.154
15600 0.0044071416 0.00049403357 0.156
15800 0.0044706465 0.00048575282 0.158
16000 0.0045305839 0.00046347575 0.16
16200 0.0045911413 0.00046898189 0.162
16400 0.0046303361 0.00048337305 0.164
16600 0.0046916111 0.00047584497 0.166
16800 0.0047446027 0.00047313156 0.168
17000 0.0047727402 0.000453832 0.17
17200 0.0048155574 0.00043467132 0.172
17400 0.0048750558 0.00042125069 0.174
17600 0.0049451138 0.00042636507 0.176
