Time AvStress StdStress Strain AvStressZ StdStressZ
0 -0.00036385254 0 0 -0.0039711709 0
20 0.031827658 0 0.11746303 0.0025759699 0
40 0.061794548 0 0.24095963 0.0093620497 0
60 0.08576952 0 0.36430426 0.015466581 0
80 0.10015087 0 0.4874975 0.018772522 0
100 0.10663692 0 0.61053989 0.017499181 0
120 0.10596763 0 0.73343198 0.013964005 0
140 0.096901813 0 0.85617434 0.010270031 0
160 0.078799645 0 0.9787675 0.0046214513 0
180 0.059284204 0 1.101212 -0.0010010497 0
200 0.046617139 0 1.2235084 -0.003215237 0
220 0.041776905 0 1.3456572 -0.003735816 0
240 0.044012434 0 1.467659 -0.0031344141 0
260 0.053303283 0 1.5895142 -0.0014910025 0
280 0.068274709 0 1.7112235 0.0022162453 0
300 0.085256376 0 1.8327873 0.0093251018 0
320 0.099412996 0 1.9542061 0.016569139 0
340 0.10640776 0 2.0754806 0.018850072 0
360 0.1077028 0 2.1966111 0.016304485 0
380 0.10902575 0 2.3175982 0.012539634 0
400 0.10829725 0 2.4384424 0.01044044 0
420 0.10602462 0 2.5591442 0.010518287 0
440 0.10381988 0 2.6797042 0.012422681 0
460 0.10537687 0 2.8001227 0.015121845 0
480 0.11269584 0 2.9204004 0.016905676 0
500 0.12049878 0 3.0405376 0.021127359 0
520 0.13434259 0 3.160535 0.028024525 0
540 0.1506845 0 3.2803929 0.031974794 0
560 0.16075062 0 3.4001119 0.032812393 0
580 0.16510015 0 3.5196925 0.033830192 0
600 0.16685518 0 3.639135 0.033924552 0
620 0.16916825 0 3.7584401 0.032050015 0
640 0.16855712 0 3.8776082 0.028207276 0
660 0.16476935 0 3.9966397 0.021516487 0
680 0.16058816 0 4.1155351 0.014483908 0
700 0.15322108 0 4.2342949 0.010445339 0
720 0.14681204 0 4.3529195 0.0084593233 0
740 0.14517896 0 4.4714095 0.009036714 0
760 0.14507409 0 4.5897652 0.014667055 0
780 0.14619224 0 4.7079871 0.02241509 0
800 0.14861646 0 4.8260757 0.027343165 0
820 0.15274957 0 4.9440314 0.030373906 0
840 0.15691881 0 5.0618547 0.031948353 0
860 0.15714938 0 5.179546 0.029139899 0
880 0.15550396 0 5.2971057 0.02554754 0
900 0.15582908 0 5.4145344 0.024090989 0
920 0.15663174 0 5.5318324 0.022610647 0
940 0.15725274 0 5.6490001 0.021693387 0
960 0.16214285 0 5.7660381 0.019428581 0
980 0.17212053 0 5.8829467 0.016890669 0
1000 0.17818109 0 5.9997263 0.016572623 0
1000 0.1823549 0 6.0055619 0.018122668 0
1020 0.19037697 0 6.1300792 0.020249566 0
1040 0.20293589 0 6.2609925 0.023019787 0
1060 0.21780473 0 6.3917447 0.026062729 0
1080 0.22782785 0 6.5223364 0.029049689 0
1100 0.22939272 0 6.6527681 0.031219016 0
1120 0.22162301 0 6.7830406 0.030878295 0
1140 0.2092962 0 6.9131543 0.030692289 0
1160 0.19751255 0 7.0431099 0.030614243 0
1180 0.18645556 0 7.1729079 0.030496379 0
1200 0.17962833 0 7.3025488 0.030868224 0
1220 0.18088456 0 7.4320334 0.031674597 0
1240 0.18849276 0 7.561362 0.031226429 0
1260 0.19595917 0 7.6905354 0.029238603 0
1280 0.19710613 0 7.819554 0.027026516 0
1300 0.19303187 0 7.9484184 0.023749927 0
1320 0.18806118 0 8.0771291 0.020102337 0
1340 0.18358773 0 8.2056867 0.017492878 0
1360 0.18324646 0 8.3340918 0.017354419 0
1380 0.18992255 0 8.4623449 0.019413886 0
1400 0.19676519 0 8.5904465 0.022495708 0
1420 0.19880809 0 8.7183971 0.025437725 0
1440 0.19993744 0 8.8461974 0.027605303 0
1460 0.20208992 0 8.9738477 0.030059086 0
1480 0.20509843 0 9.1013487 0.031791546 0
1500 0.20948201 0 9.2287009 0.033054945 0
1520 0.21625385 0 9.3559048 0.034998503 0
1540 0.22150687 0 9.4829609 0.033919963 0
1560 0.22482765 0 9.6098697 0.030441994 0
1580 0.23017833 0 9.7366317 0.028073016 0
1600 0.234914 0 9.8632475 0.02630701 0
1620 0.23759435 0 9.9897175 0.024444397 0
1640 0.23652959 0 10.116042 0.023588301 0
1660 0.23066575 0 10.242222 0.022612236 0
1680 0.2222426 0 10.368258 0.022275819 0
1700 0.21627339 0 10.49415 0.024584378 0
1720 0.216104 0 10.619899 0.027640553 0
1740 0.2198759 0 10.745505 0.029713335 0
1760 0.22547432 0 10.870968 0.029997649 0
1780 0.23230673 0 10.99629 0.030348664 0
1800 0.24087409 0 11.121471 0.032341471 0
1820 0.24858224 0 11.24651 0.034050263 0
1840 0.25249856 0 11.371409 0.034073945 0
1860 0.25385793 0 11.496169 0.034337484 0
1880 0.25505769 0 11.620789 0.036079522 0
1900 0.25640265 0 11.745269 0.037955797 0
1920 0.25979349 0 11.869612 0.03887551 0
1940 0.2642123 0 11.993816 0.039952703 0
1960 0.26401759 0 12.117883 0.040472241 0
1980 0.26117865 0 12.241813 0.039653818 0
2000 0.26070108 0 12.365605 0.039284627 0
2000 0.2581861 0 12.371792 0.037865338 0
2020 0.25112957 0 12.489262 0.035732499 0
2040 0.24621135 0 12.612783 0.0343191 0
2060 0.24371052 0 12.736169 0.032004639 0
2080 0.23998395 0 12.859419 0.029357167 0
2100 0.24053302 0 12.982536 0.026926227 0
2120 0.24872246 0 13.105518 0.02613295 0
2140 0.25843355 0 13.228366 0.027795113 0
2160 0.26967362 0 13.351082 0.03040259 0
2180 0.27934926 0 13.473665 0.033385644 0
2200 0.28133142 0 13.596115 0.034579292 0
2220 0.28002425 0 13.718434 0.032926838 0
2240 0.27907084 0 13.840621 0.030953078 0
2260 0.27548065 0 13.962677 0.029084556 0
2280 0.26880271 0 14.084603 0.027807368 0
2300 0.26249839 0 14.206398 0.028651371 0
2320 0.25702491 0 14.328064 0.030709424 0
2340 0.25492148 0 14.4496 0.033440169 0
2360 0.25704855 0 14.571008 0.036229716 0
2380 0.25969537 0 14.692287 0.037466149 0
2400 0.26348634 0 14.813438 0.037930067 0
2420 0.26837176 0 14.934461 0.037746374 0
2440 0.26962507 0 15.055357 0.035081664 0
2460 0.26389398 0 15.176125 0.031104804 0
2480 0.25476218 0 15.296768 0.027605927 0
2500 0.244879 0 15.417284 0.024537776 0
2520 0.23596913 0 15.537675 0.021891676 0
2540 0.23240752 0 15.65794 0.021005037 0
2560 0.23366527 0 15.77808 0.022577904 0
2580 0.23974128 0 15.898096 0.024895132 0
2600 0.2502453 0 16.017988 0.027505505 0
2620 0.26490588 0 16.137756 0.031298288 0
2640 0.28126872 0 16.2574 0.035357294 0
2660 0.29424293 0 16.376922 0.038020675 0
2680 0.30030703 0 16.496321 0.039584896 0
2700 0.30198116 0 16.615597 0.040780842 0
2720 0.301787 0 16.734752 0.040829513 0
2740 0.29859455 0 16.853785 0.040361759 0
2760 0.29518363 0 16.972698 0.039755003 0
2780 0.29382363 0 17.091489 0.038509645 0
2800 0.2940304 0 17.21016 0.036923826 0
2820 0.29356751 0 17.328711 0.035137408 0
2840 0.29266463 0 17.447142 0.033754254 0
2860 0.29223295 0 17.565454 0.032268041 0
2880 0.29168474 0 17.683647 0.029299309 0
2900 0.29171196 0 17.801722 0.02576508 0
2920 0.29023994 0 17.919678 0.024057556 0
2940 0.28804384 0 18.037516 0.024926391 0
2960 0.28780435 0 18.155237 0.026732379 0
2980 0.28730623 0 18.272841 0.028332992 0
3000 0.28697454 0 18.396199 0.032159031 0
3000 0.28734216 0 18.390328 0.029191279 0
3020 0.28621279 0 18.519967 0.036522474 0
3040 0.2866863 0 18.65011 0.039724911 0
3060 0.28793199 0 18.780111 0.04130229 0
3080 0.29091599 0 18.909969 0.041575443 0
3100 0.29548183 0 19.039686 0.042227347 0
3120 0.29918252 0 19.169261 0.043064501 0
3140 0.3019822 0 19.298696 0.043572878 0
3160 0.30540215 0 19.42799 0.042431765 0
3180 0.30976092 0 19.557145 0.040054371 0
3200 0.31470289 0 19.68616 0.036426927 0
3220 0.31613315 0 19.815036 0.030524387 0
3240 0.31189244 0 19.943774 0.024571495 0
3260 0.30512858 0 20.072374 0.021070912 0
3280 0.29809402 0 20.200836 0.020929823 0
3300 0.29048917 0 20.329161 0.024323765 0
3320 0.28362883 0 20.45735 0.029430799 0
3340 0.27888692 0 20.585402 0.033100902 0
3360 0.27558124 0 20.713318 0.034752076 0
3380 0.27221912 0 20.841099 0.03472298 0
3400 0.27071363 0 20.968745 0.033274684 0
3420 0.27358072 0 21.096256 0.031743661 0
3440 0.27944369 0 21.223633 0.029570305 0
3460 0.28421778 0 21.350877 0.026645008 0
3480 0.2856803 0 21.477987 0.024485252 0
3500 0.28826359 0 21.604965 0.024150607 0
3520 0.29307188 0 21.73181 0.024542095 0
3540 0.29661828 0 21.858522 0.024671635 0
3560 0.29820881 0 21.985104 0.025989786 0
3580 0.2993289 0 22.111554 0.02847314 0
3600 0.30195596 0 22.237873 0.031293145 0
3620 0.30619563 0 22.364062 0.033434304 0
3640 0.31280037 0 22.490121 0.033842433 0
3660 0.3205029 0 22.61605 0.033295439 0
3680 0.32607184 0 22.74185 0.033227504 0
3700 0.32678459 0 22.867521 0.033548351 0
3720 0.32331907 0 22.993064 0.031818592 0
3740 0.31961901 0 23.118479 0.029766363 0
3760 0.31769191 0 23.243766 0.030001359 0
3780 0.31681324 0 23.368926 0.031926417 0
3800 0.31499975 0 23.493959 0.032847379 0
3820 0.30951312 0 23.618866 0.031957804 0
3840 0.29797615 0 23.743646 0.030643895 0
3860 0.28602653 0 23.868301 0.029515844 0
3880 0.27538177 0 23.992831 0.029414906 0
3900 0.26841588 0 24.117235 0.030749517 0
3920 0.26818741 0 24.241515 0.033656166 0
3940 0.27044109 0 24.365671 0.036502313 0
3960 0.27727658 0 24.489703 0.037505927 0
3980 0.2889478 0 24.613612 0.037390943 0
4000 0.2957519 0 24.737397 0.037368086 0
4000 0.30084488 0 24.743583 0.036755945 0
4020 0.30925625 0 24.86106 0.033842524 0
4040 0.31603936 0 24.9846 0.029352856 0
4060 0.32164738 0 25.108019 0.025936913 0
4080 0.32331435 0 25.231315 0.023828031 0
4100 0.31764887 0 25.354491 0.021254866 0
4120 0.30785953 0 25.477545 0.018904884 0
4140 0.30025739 0 25.600479 0.019498098 0
4160 0.2966281 0 25.723293 0.022290446 0
4180 0.29504333 0 25.845987 0.026079089 0
4200 0.29491208 0 25.968562 0.030311076 0
4220 0.2981881 0 26.091017 0.033579742 0
4240 0.3060686 0 26.213353 0.035638667 0
4260 0.31590641 0 26.335572 0.036559116 0
4280 0.32455958 0 26.457671 0.036414355 0
4300 0.32806188 0 26.579654 0.035498334 0
4320 0.32677411 0 26.701518 0.033455175 0
4340 0.32279482 0 26.823266 0.03061796 0
4360 0.31451919 0 26.944897 0.027161997 0
4380 0.30449029 0 27.066411 0.02390185 0
4400 0.2958152 0 27.187809 0.022275617 0
4420 0.28908286 0 27.309092 0.021565556 0
4440 0.28487411 0 27.430259 0.022348626 0
4460 0.28412266 0 27.551311 0.024436985 0
4480 0.28666075 0 27.672248 0.0268164 0
4500 0.29150362 0 27.793071 0.029452336 0
4520 0.30090428 0 27.91378 0.031616559 0
4540 0.31055531 0 28.034375 0.03177551 0
4560 0.31634447 0 28.154856 0.031325645 0
4580 0.32200883 0 28.275224 0.030920031 0
4600 0.3286657 0 28.39548 0.0306484 0
4620 0.33379076 0 28.515622 0.03086493 0
4640 0.33411747 0 28.635653 0.031133575 0
4660 0.33035037 0 28.755572 0.031470157 0
4680 0.32546934 0 28.875379 0.031372582 0
4700 0.32166458 0 28.995075 0.031089068 0
4720 0.32077474 0 29.11466 0.031341209 0
4740 0.32363155 0 29.234134 0.031774921 0
4760 0.32909122 0 29.353498 0.032248065 0
4780 0.33566545 0 29.472752 0.032736434 0
4800 0.33856237 0 29.591896 0.032130118 0
4820 0.33450955 0 29.710931 0.030788236 0
4840 0.32696405 0 29.829856 0.029046189 0
4860 0.31708244 0 29.948673 0.026321102 0
4880 0.30472268 0 30.067381 0.022474232 0
4900 0.29312474 0 30.185981 0.019980809 0
4920 0.28498016 0 30.304473 0.019793712 0
4940 0.28113961 0 30.422857 0.020603926 0
4960 0.2845693 0 30.541134 0.022417382 0
4980 0.29716507 0 30.659304 0.025420335 0
5000 0.3060335 0 30.777367 0.027223445 0
5000 0.31271101 0 30.783268 0.029070224 0
5020 0.32493017 0 30.906432 0.031973713 0
5040 0.33565912 0 31.035954 0.034586208 0
5060 0.34411622 0 31.165348 0.037165395 0
5080 0.35128664 0 31.294614 0.037857897 0
5100 0.35500468 0 31.423754 0.037453157 0
5120 0.3547065 0 31.552766 0.035890401 0
5140 0.3536426 0 31.681652 0.033098316 0
5160 0.35267242 0 31.810412 0.031298458 0
5180 0.34988459 0 31.939047 0.03023476 0
5200 0.34492303 0 32.067556 0.028725709 0
5220 0.34097462 0 32.19594 0.027514502 0
5240 0.33894303 0 32.3242 0.027811313 0
5260 0.34013437 0 32.452335 0.028253563 0
5280 0.34401777 0 32.580347 0.028390088 0
5300 0.34734295 0 32.708235 0.027999201 0
5320 0.34916687 0 32.836 0.027603437 0
5340 0.34693263 0 32.963642 0.028027984 0
5360 0.33920854 0 33.091162 0.028788194 0
5380 0.3290391 0 33.21856 0.029303041 0
5400 0.32043614 0 33.345836 0.030657611 0
5420 0.31702222 0 33.47299 0.03239843 0
5440 0.31806069 0 33.600024 0.033252545 0
5460 0.32146179 0 33.726937 0.03416381 0
5480 0.32648229 0 33.85373 0.035005893 0
5500 0.33195201 0 33.980402 0.034929066 0
5520 0.33825236 0 34.106955 0.033613254 0
5540 0.34651648 0 34.233389 0.031663186 0
5560 0.35593616 0 34.359704 0.029526242 0
5580 0.3639851 0 34.4859 0.028633852 0
5600 0.36923688 0 34.611977 0.02900355 0
5620 0.36975193 0 34.737937 0.029840253 0
5640 0.3644427 0 34.863779 0.02982449 0
5660 0.35478276 0 34.989504 0.029126039 0
5680 0.34321221 0 35.115112 0.02848386 0
5700 0.33073122 0 35.240603 0.027453227 0
5720 0.31892006 0 35.365978 0.026475445 0
5740 0.31281092 0 35.491237 0.025784241 0
5760 0.31536949 0 35.61638 0.025734626 0
5780 0.32360205 0 35.741408 0.025542023 0
5800 0.33392623 0 35.86632 0.025292446 0
5820 0.34188573 0 35.991118 0.025634169 0
5840 0.34381204 0 36.115802 0.025722749 0
5860 0.341078 0 36.240371 0.025319982 0
5880 0.33571758 0 36.364827 0.025115503 0
5900 0.33093325 0 36.489169 0.025796708 0
5920 0.32658159 0 36.613398 0.02705362 0
5940 0.32392383 0 36.737514 0.028910807 0
5960 0.32608165 0 36.861518 0.030697466 0
5980 0.33116556 0 36.985409 0.031250946 0
6000 0.33789037 0 37.115375 0.030761192 0
6000 0.33457786 0 37.109189 0.031303137 0
6020 0.34172074 0 37.232856 0.029587441 0
6040 0.34285488 0 37.356413 0.029175342 0
6060 0.34197542 0 37.479858 0.029373429 0
6080 0.33935676 0 37.603193 0.028948627 0
6100 0.33858585 0 37.726417 0.027913937 0
6120 0.33918236 0 37.849531 0.026597652 0
6140 0.33993091 0 37.972535 0.0255663 0
6160 0.34161914 0 38.095429 0.024533225 0
6180 0.34063995 0 38.218215 0.023756033 0
6200 0.33591656 0 38.340891 0.023224119 0
6220 0.32946074 0 38.463459 0.022014194 0
6240 0.32373179 0 38.585918 0.021111266 0
6260 0.32208993 0 38.708269 0.021560497 0
6280 0.3244006 0 38.830512 0.0237693 0
6300 0.32745884 0 38.952648 0.026099033 0
6320 0.33131455 0 39.074677 0.028264505 0
6340 0.33513719 0 39.196598 0.030229159 0
6360 0.33939966 0 39.318413 0.032169066 0
6380 0.3470241 0 39.440121 0.034599673 0
6400 0.35481922 0 39.561724 0.035792527 0
6420 0.36135172 0 39.68322 0.035725913 0
6440 0.36739679 0 39.804611 0.03500482 0
6460 0.37048974 0 39.925896 0.033444877 0
6480 0.36906764 0 40.047077 0.031014786 0
6500 0.36465607 0 40.168153 0.028308365 0
6520 0.35801526 0 40.289124 0.025757869 0
6540 0.35055731 0 40.409991 0.024206844 0
6560 0.34445762 0 40.530754 0.023607848 0
6580 0.3407787 0 40.651413 0.023440399 0
6600 0.34009367 0 40.771969 0.023699886 0
6620 0.3433968 0 40.892422 0.024208451 0
6640 0.35056432 0 41.012772 0.025036859 0
6660 0.35893315 0 41.133019 0.026032269 0
6680 0.36575302 0 41.253164 0.026703248 0
6700 0.37005144 0 41.373207 0.027392168 0
6720 0.37144106 0 41.493148 0.02804812 0
6740 0.36896284 0 41.612987 0.028652668 0
6760 0.36534466 0 41.732725 0.029524478 0
6780 0.36096306 0 41.852362 0.029705206 0
6800 0.35787263 0 41.971898 0.028881897 0
6820 0.35834605 0 42.091334 0.027320629 0
6840 0.36044268 0 42.210669 0.026081149 0
6860 0.36241431 0 42.329904 0.025872875 0
6880 0.36396402 0 42.44904 0.025791616 0
6900 0.36482257 0 42.568075 0.02638139 0
6920 0.36527236 0 42.687012 0.028201643 0
6940 0.3663677 0 42.80585 0.02972608 0
6960 0.36455149 0 42.924588 0.030439529 0
6980 0.36121333 0 43.043228 0.030320316 0
7000 0.36055203 0 43.16177 0.029983742 0
7000 0.36029768 0 43.167695 0.029532907 0
7020 0.36007543 0 43.290362 0.028646597 0
7040 0.36008748 0 43.419372 0.028300611 0
7060 0.36011262 0 43.548266 0.029214862 0
7080 0.36088244 0 43.677045 0.03081604 0
7100 0.36193202 0 43.805708 0.030949687 0
7120 0.36247842 0 43.934257 0.03028463 0
7140 0.36297576 0 44.06269 0.030487607 0
7160 0.36344798 0 44.191009 0.029632065 0
7180 0.3630475 0 44.319215 0.028343843 0
7200 0.35922033 0 44.447306 0.027022495 0
7220 0.35104854 0 44.575284 0.024878635 0
7240 0.3440136 0 44.703148 0.023825013 0
7260 0.33830132 0 44.8309 0.023803561 0
7280 0.33387492 0 44.958539 0.023705147 0
7300 0.33579299 0 45.086066 0.023625601 0
7320 0.34157407 0 45.213481 0.023851599 0
7340 0.34710981 0 45.340784 0.02380371 0
7360 0.35267092 0 45.467976 0.024179579 0
7380 0.35882998 0 45.595057 0.024976712 0
7400 0.3646454 0 45.722026 0.02511824 0
7420 0.36808089 0 45.848886 0.026100007 0
7440 0.36922813 0 45.975635 0.02759698 0
7460 0.36993076 0 46.102274 0.029100451 0
7480 0.36952184 0 46.228803 0.030505808 0
7500 0.36665019 0 46.355223 0.030714533 0
7520 0.36561143 0 46.481534 0.030360548 0
7540 0.36770877 0 46.607736 0.029512436 0
7560 0.36928899 0 46.73383 0.028897036 0
7580 0.36783864 0 46.859815 0.029144513 0
7600 0.36379491 0 46.985692 0.029500624 0
7620 0.35877402 0 47.111462 0.029044851 0
7640 0.35612167 0 47.237124 0.027812128 0
7660 0.35694736 0 47.362679 0.026639717 0
7680 0.35662881 0 47.488127 0.025577278 0
7700 0.35468121 0 47.613469 0.024306994 0
7720 0.35434606 0 47.738704 0.023215559 0
7740 0.35515601 0 47.863833 0.023022171 0
7760 0.35657368 0 47.988856 0.023393837 0
7780 0.36070509 0 48.113774 0.023897137 0
7800 0.36592276 0 48.238587 0.024235783 0
7820 0.37132833 0 48.363294 0.025126891 0
7840 0.37856293 0 48.487897 0.02590027 0
7860 0.38380715 0 48.612395 0.025619965 0
7880 0.38296436 0 48.736789 0.025342756 0
7900 0.37825678 0 48.86108 0.02586132 0
7920 0.37231449 0 48.985266 0.027094607 0
7940 0.36609679 0 49.109349 0.027687043 0
7960 0.35987499 0 49.233329 0.027505671 0
7980 0.35448213 0 49.357206 0.027020727 0
8000 0.3509818 0 49.487166 0.026551456 0
8000 0.35267928 0 49.48098 0.026700215 0
8020 0.34896131 0 49.604652 0.026076705 0
8040 0.3498307 0 49.728222 0.025057794 0
8060 0.35145923 0 49.85169 0.023939909 0
8080 0.35357448 0 49.975056 0.023262272 0
8100 0.35568176 0 50.098321 0.02294939 0
8120 0.35780247 0 50.221484 0.022686308 0
8140 0.36086336 0 50.344547 0.02311657 0
8160 0.36558611 0 50.467509 0.025108624 0
8180 0.37199738 0 50.590371 0.027750274 0
8200 0.37802061 0 50.713132 0.030440575 0
8220 0.38110246 0 50.835794 0.032206232 0
8240 0.38080156 0 50.958356 0.032728042 0
8260 0.37790425 0 51.080818 0.032181398 0
8280 0.37329349 0 51.203182 0.030447221 0
8300 0.36772743 0 51.325446 0.028183382 0
8320 0.36137327 0 51.447612 0.026253439 0
8340 0.35502804 0 51.569679 0.024695779 0
8360 0.35033926 0 51.691648 0.023250753 0
8380 0.35041457 0 51.813519 0.02240311 0
8400 0.35466534 0 51.935292 0.022396942 0
8420 0.3588417 0 52.056968 0.022873936 0
8440 0.36198445 0 52.178546 0.023036637 0
8460 0.36409877 0 52.300028 0.022964934 0
8480 0.36359725 0 52.421412 0.022910051 0
8500 0.36210615 0 52.5427 0.022827732 0
8520 0.36091641 0 52.663892 0.02230823 0
8540 0.3591564 0 52.784988 0.021271961 0
8560 0.35902292 0 52.905987 0.020644787 0
8580 0.36007125 0 53.026891 0.020424059 0
8600 0.36019289 0 53.147699 0.019998804 0
8620 0.36210173 0 53.268413 0.020124555 0
8640 0.36572287 0 53.389031 0.020353565 0
8660 0.36760443 0 53.509554 0.020265322 0
8680 0.36703078 0 53.629983 0.02114303 0
8700 0.36698257 0 53.750318 0.022491624 0
8720 0.36798473 0 53.870558 0.024030149 0
8740 0.36815386 0 53.990705 0.024756057 0
8760 0.36901527 0 54.110758 0.024343996 0
8780 0.37133156 0 54.230717 0.024051976 0
8800 0.37228685 0 54.350584 0.023634415 0
8820 0.37001955 0 54.470357 0.02262343 0
8840 0.36676494 0 54.590037 0.021731524 0
8860 0.36452028 0 54.709625 0.021587724 0
8880 0.36443506 0 54.829121 0.022094269 0
8900 0.3668773 0 54.948524 0.023456573 0
8920 0.37101626 0 55.067835 0.024934716 0
8940 0.37688882 0 55.187055 0.026701111 0
8960 0.38409645 0 55.306183 0.028300392 0
8980 0.38975 0 55.42522 0.029057979 0
9000 0.39190617 0 55.544166 0.029428562 0
9000 0.39375192 0 55.550111 0.029005337 0
9020 0.39389179 0 55.672361 0.027860976 0
9040 0.39034683 0 55.800943 0.026703861 0
