Time AvStress StdStress Strain
-2909940 -0.074154228 0.055937785 0
-2909880 -0.1517945 0.11724215 0
-2909820 -0.04866081 0.067804848 0
-2909760 -0.052256651 0.093059416 0
-2909700 -0.089321251 0.046742064 0
-2909640 -0.046378292 0.14206042 0
-2909580 -0.028756225 0.068893527 0
-2909520 -0.088954034 0.054728198 0
-2909460 -0.10569394 0.084017601 0
-2909400 -0.14360038 0.077658251 0
-2909340 -0.16049285 0.082502369 0
-2909280 -0.03574708 0.079876078 0
-2909220 -0.010887827 0.052368152 0
-2909160 -0.080371567 0.080298579 0
-2909100 -0.074296922 0.12047019 0
-2909040 -0.051622086 0.076227004 0
-2908980 -0.12613807 0.0069842028 0
-2908920 -0.19042526 0.017193298 0
-2908860 -0.11758268 0.080592151 0
-2908800 -0.05241878 0.041258414 0
-2908740 -0.0090905262 0.052536291 0
-2908680 -0.059834793 0.093276059 0
-2908620 -0.094916887 0.10456877 0
-2908560 0.0036661122 0.079876566 0
-2908500 -0.01112421 0.067666895 0
-2908440 -0.084204714 0.099049454 0
-2908380 -0.090461864 0.074213614 0
-2908320 -0.064982539 0.067666557 0
-2908260 -0.015477467 0.050562557 0
-2908200 -0.040188051 0.034852193 0
-2908140 -0.068724197 0.058620702 0
-2908080 -0.053158155 0.08237104 0
-2908020 -0.013785172 0.087555701 0
-2907960 -0.02287278 0.097180441 0
-2907900 -0.041556013 0.12518969 0
-2907840 0.032945695 0.067549361 0
-2907780 0.026336291 0.18230514 0
-2907720 -0.027621172 0.12213488 0
-2907660 -0.0011384872 0.054628974 0
-2907600 0.022313643 0.081329211 0
-2907540 -0.049627251 0.050906379 0
-2907480 -0.067374153 0.09776443 0
-2907420 -0.039506212 0.092700804 0
-2907360 -0.059389846 0.11892106 0
-2907300 -0.0032018976 0.064635534 0
-2907240 0.077281735 0.046675934 0
-2907180 0.024321187 0.036037634 0
-2907120 -0.02111454 0.045860235 0
-2907060 0.01667871 0.04230044 0
-2907000 -0.026909221 0.065334904 0
-2906940 -0.097348359 0.049981656 0
-2906880 -0.069855654 0.077137471 0
-2906820 -0.047014696 0.05916874 0
-2906760 0.0061065418 0.026986547 0
-2906700 0.061627736 0.064017708 0
-2906640 0.11583851 0.095204577 0
-2906580 0.12343412 0.040262258 0
-2906520 0.013722197 0.084174212 0
-2906460 -0.047947721 0.08820508 0
-2906400 -0.062524757 0.073235655 0
-2906340 0.0093771726 0.088456175 0
-2906280 0.013383388 0.07671373 0
-2906220 -0.012774597 0.058554049 0
-2906160 -0.021668633 0.088328653 0
-2906100 -0.0093120613 0.095025618 0
-2906040 0.056366736 0.063139269 0
-2905980 0.011793381 0.045713371 0
-2905920 -0.0084045074 0.087915253 0
-2905860 -0.013783867 0.053377525 0
-2905800 0.01946217 0.035183419 0
-2905740 -0.046087161 0.018451555 0
-2905680 -0.10706113 0.052253447 0
-2905620 -0.0069599424 0.1433905 0
-2905560 -0.011540598 0.11582784 0
-2905500 -0.023204731 0.025046929 0
-2905440 -0.052409586 0.061266677 0
-2905380 -0.096356928 0.029485201 0
-2905320 -0.062169906 0.043915097 0
-2905260 0.017834892 0.027606238 0
-2905200 -0.013325766 0.055835712 0
-2905140 -0.0035711908 0.011402904 0
-2905080 0.06309421 0.069765072 0
-2905020 -0.094420781 0.063321865 0
-2904960 -0.12432171 0.023840948 0
-2904900 -0.053042374 0.08582826 0
-2904840 -0.027858215 0.1178982 0
-2904780 0.047686317 0.068766357 0
-2904720 -0.029930025 0.1429452 0
-2904660 -0.072347663 0.063307629 0
-2904600 -0.006369979 0.0079948352 0
-2904540 -0.019316181 0.03168168 0
-2904480 -0.014535958 0.079626552 0
-2904420 -0.04740111 0.070317079 0
-2904360 -0.049555809 0.10494759 0
-2904300 -0.075549759 0.11201925 0
-2904240 -0.14888645 0.11688853 0
-2904180 -0.12617422 0.052586825 0
-2904120 -0.051654575 0.095704745 0
-2904060 -0.013413838 0.027925354 0
-2904000 -0.056385456 0.080673341 0
-2903940 -0.052782059 0.041921155 0
-2903880 -0.021193172 0.0097227897 0
-2903820 -0.083646756 0.061294093 0
-2903760 -0.10690611 0.047883895 0
-2903700 -0.078932163 0.093428594 0
-2903640 -0.053893928 0.16198891 0
-2903580 -0.034551731 0.14029273 0
-2903520 -0.079775347 0.031989985 0
-2903460 -0.030006153 0.066415179 0
-2903400 0.10300117 0.10554148 0
-2903340 0.011287148 0.037436954 0
-2903280 -0.064371899 0.048901886 0
-2903220 -0.003032683 0.0045221185 0
-2903160 -0.085081767 0.099449309 0
-2903100 -0.01294572 0.078182434 0
-2903040 0.051693288 0.054016735 0
-2902980 -0.088314807 0.038592632 0
-2902920 -0.068502821 0.037244243 0
-2902860 -0.0014927128 0.081357001 0
-2902800 -0.058871409 0.049945311 0
-2902740 -0.078232973 0.030810982 0
-2902680 -0.073354738 0.16070771 0
-2902620 -0.020213143 0.14952206 0
-2902560 -0.01360281 0.016642566 0
-2902500 -0.057063722 0.082507543 0
-2902440 -0.065413328 0.12090216 0
-2902380 -0.063096128 0.060185596 0
-2902320 -0.025701603 0.09969914 0
-2902260 -0.037722076 0.046491193 0
-2902200 -0.010002406 0.058328668 0
-2902140 0.041490011 0.017702038 0
-2902080 -0.010749928 0.026668685 0
-2902020 -0.12489666 0.077536973 0
-2901960 -0.12980524 0.1567242 0
-2901900 -0.018806634 0.047036842 0
-2901840 -0.012782222 0.10799492 0
-2901780 -0.078151172 0.023560696 0
-2901720 -0.058610565 0.042867722 0
-2901660 -0.064429451 0.02801633 0
-2901600 -0.10608971 0.058531874 0
-2901540 -0.13749946 0.060850666 0
-2901480 -0.097035253 0.036171726 0
-2901420 -0.090378581 0.045621417 0
-2901360 -0.092063234 0.099500681 0
-2901300 -0.042237677 0.054015246 0
-2901240 -0.10469216 0.086761831 0
-2901180 -0.022163437 0.075016924 0
-2901120 -0.013842872 0.032565987 0
-2901060 -0.022218297 0.17449846 0
-2901000 0.060243488 0.13617347 0
-2900940 0.013302379 0.13287132 0
-2900880 0.013661416 0.074523507 0
-2900820 -0.026724608 0.093979641 0
-2900760 -0.071188174 0.041563293 0
-2900700 -0.052201773 0.02763836 0
-2900640 -0.0237724 0.15007924 0
-2900580 -0.084809041 0.14832248 0
-2900520 -0.13312676 0.065470538 0
-2900460 -0.11904153 0.11327491 0
-2900400 -0.097923867 0.10371415 0
-2900340 -0.073463723 0.050719392 0
-2900280 -0.045035112 0.013126956 0
-2900220 -0.075978178 0.075759146 0
-2900160 -0.15056644 0.084217405 0
-2900100 -0.17735847 0.11150559 0
-2900040 -0.10319329 0.16039763 0
