Time AvStress StdStress Strain
0 0.0255245539 0.0722826059 0
21 0.0864430453 0.0545653142 0.0216838924
42 0.0132894119 0.0356451075 0.0433630849
63 -0.0582555643 0.0462382369 0.0650375806
84 -0.105432326 0.0914834289 0.0867073826
105 -0.133013646 0.0151356867 0.108372494
126 0.00448806017 0.0845216878 0.130032917
147 0.105841018 0.146121525 0.151688656
168 0.0829926169 0.138934853 0.173339714
189 0.098271125 0.0949976055 0.194986092
210 0.180864358 0.0131416885 0.216627796
231 0.0898366249 0.069409889 0.238264826
252 -0.059863985 0.00433835719 0.259897187
273 -0.139570978 0.0510901573 0.281524882
294 -0.0349139596 0.067219877 0.303147914
315 0.155957606 0.115383782 0.324766285
336 0.0659277815 0.196650915 0.346379998
357 -0.0704442297 0.187140737 0.367989057
378 -0.00899776593 0.0468789597 0.389593465
399 0.0452086214 0.0185322474 0.411193224
420 0.0271606141 0.0352660997 0.432788338
441 -0.0142807143 0.0386635478 0.45437881
462 -0.00625007535 0.0568127651 0.475964642
483 0.0012022034 0.0757833979 0.497545838
504 0.0362633645 0.0950298517 0.5191224
525 0.100862205 0.0512117642 0.540694332
546 0.112696081 0.0401474147 0.562261636
567 0.0530311846 0.094092777 0.583824316
588 -0.00583704147 0.0148039039 0.605382375
609 0.0143170396 0.0279636818 0.626935815
630 0.106233506 0.00341202348 0.648484639
651 0.0808448713 0.0378503477 0.670028851
672 0.020904791 0.0930561512 0.691568453
693 -0.0483747567 0.00306826187 0.713103448
714 -0.0519627185 0.0241616394 0.73463384
735 0.0356530286 0.0758000286 0.75615963
756 0.0501407499 0.115580283 0.777680823
777 0.0655690957 0.111245557 0.799197421
798 0.215521386 0.0810768916 0.820709428
819 0.219835189 0.0136938025 0.842216845
840 0.123816659 0.0138717937 0.863719676
861 0.128655914 0.0615504192 0.885217924
882 0.135627783 0.0165725826 0.906711591
903 0.121213978 0.0194412495 0.928200682
924 0.0587235909 0.0840010361 0.949685198
945 0.0925668044 0.015654969 0.971165142
966 0.0668933581 0.0591701199 0.992640518
987 0.0338245961 0.145835948 1.01411133
1008 0.110178709 0.0394371141 1.03557758
1029 0.120880723 0.117110053 1.05703926
1050 0.0909726588 0.0162452833 1.0784964
1071 0.0855629125 0.0570663187 1.09994897
1092 0.060958372 0.00366242729 1.121397
1113 0.0592341688 0.0467464437 1.14284048
1134 0.0900871436 0.0937312853 1.16427941
1155 -0.0341646261 0.0573016954 1.1857138
1176 -0.0427058792 0.0701406741 1.20714365
1197 0.122451843 0.000655399104 1.22856896
1218 0.106849935 0.0664150361 1.24998974
1239 0.0386295935 0.0645207342 1.27140599
1260 -0.0152546921 0.0684562691 1.29281771
1281 0.074279444 0.0585209141 1.31422491
1302 0.138400811 0.00284410224 1.33562758
1323 0.0190690326 0.0337373762 1.35702574
1344 -0.0285787343 0.00655253491 1.37841937
1365 0.0195330347 0.127675384 1.3998085
1386 0.0244702901 0.0517738828 1.42119311
1407 0.0911320511 0.0731183538 1.44257322
1428 0.233052537 0.024519056 1.46394882
1449 0.125185582 0.0464192323 1.48531991
1470 -0.00575048288 0.092275381 1.50668651
1491 0.0793559162 0.0478779254 1.52804862
1512 0.161788568 0.0457089945 1.54940622
1533 0.193892054 0.0491768763 1.57075934
1554 0.0884671758 0.017046782 1.59210797
1575 0.160555456 0.150582139 1.61345211
1596 0.214719932 0.117612238 1.63479177
1617 0.0919871478 0.0183064406 1.65612696
1638 0.157987218 0.0169517127 1.67745766
1659 0.153174466 0.058374966 1.69878389
1680 0.174333926 0.0337602843 1.72010565
1701 0.209213067 0.0553314945 1.74142294
1722 0.290093544 0.096768206 1.76273577
1743 0.261116325 0.136278719 1.78404413
1764 0.0858417968 0.111012086 1.80534803
