Time AvStress StdStress Strain
-2959920 -0.021872039 0.010846771 0
-2959860 0.0047724835 0.073628345 0.0092942242
-2959800 -0.015612411 0.030130074 0.018587585
-2959740 -0.026916398 0.058832405 0.027880082
-2959680 0.0016743185 0.028538178 0.037171716
-2959620 -2.538557e-06 0.069025662 0.046462487
-2959560 -0.028795046 0.08404004 0.055752395
-2959500 -0.12488002 0.083282748 0.065041441
-2959440 -0.079377691 0.051597572 0.074329625
-2959380 0.023130288 0.065073187 0.083616946
-2959320 -0.030810764 0.07589742 0.092903406
-2959260 -0.05503339 0.036545699 0.102189
-2959200 -0.11123254 0.083732604 0.11147374
-2959140 -0.11546283 0.063551202 0.12075762
-2959080 0.012688794 0.06074489 0.13004063
-2959020 0.047268899 0.068317141 0.13932279
-2958960 -0.029833887 0.077943043 0.14860408
-2958900 -0.053722752 0.069716887 0.15788452
-2958840 -0.032505009 0.14841864 0.16716409
-2958780 -0.031626775 0.06710486 0.17644281
-2958720 -0.048546467 0.065637623 0.18572066
-2958660 -0.051794864 0.075980763 0.19499766
-2958600 -0.067649995 0.059324895 0.2042738
-2958540 -0.055532281 0.055579826 0.21354907
-2958480 -0.017925657 0.051619889 0.2228235
-2958420 -0.090152756 0.036794954 0.23209706
-2958360 -0.097099985 0.10650215 0.24136976
-2958300 -0.025694905 0.10813382 0.25064161
-2958240 0.022906824 0.046934561 0.2599126
-2958180 0.0081497488 0.018637684 0.26918273
-2958120 0.003376853 0.073753278 0.27845201
-2958060 0.021009126 0.12096098 0.28772042
-2958000 -0.034240313 0.091837005 0.29698799
-2957940 -0.046104166 0.055519013 0.30625469
-2957880 0.077178405 0.019222912 0.31552054
-2957820 0.10759746 0.084061222 0.32478554
-2957760 0.031381398 0.090055183 0.33404967
-2957700 -0.020668227 0.051839865 0.34331296
-2957640 -0.075703753 0.050853931 0.35257539
-2957580 -0.012956959 0.066311875 0.36183696
-2957520 0.062576468 0.10461073 0.37109768
-2957460 -0.028137181 0.018005048 0.38035754
-2957400 -0.022450351 0.096233198 0.38961655
-2957340 0.12532762 0.082825757 0.39887471
-2957280 0.05727254 0.010866283 0.40813201
-2957220 0.039438452 0.023238685 0.41738846
-2957160 0.028009657 0.085563072 0.42664406
-2957100 -0.014942204 0.10531119 0.4358988
-2957040 0.065144971 0.10987692 0.44515269
-2956980 0.076573076 0.067366364 0.45440573
-2956920 0.10209201 0.089791784 0.46365791
-2956860 0.10099691 0.092387424 0.47290925
-2956800 0.025223946 0.037833911 0.48215973
-2956740 -0.025709901 0.06747776 0.49140936
-2956680 -0.076302657 0.017241853 0.50065814
-2956620 -0.07913815 0.063421263 0.50990607
-2956560 -0.043428867 0.045320923 0.51915314
-2956500 0.017473875 0.086867327 0.52839937
-2956440 0.070987035 0.061260639 0.53764475
-2956380 -0.021602337 0.094770679 0.54688927
-2956320 -0.10191409 0.067656918 0.55613295
-2956260 -0.014336077 0.064105985 0.56537577
-2956200 0.041848843 0.12888555 0.57461775
-2956140 -0.036415746 0.14745817 0.58385888
-2956080 -0.051192095 0.10929212 0.59309916
-2956020 -0.0020799591 0.089642673 0.60233859
-2955960 0.00042107153 0.068696473 0.61157717
-2955900 -0.038272343 0.086786307 0.6208149
