moleculeID,timeEntered,timeLeft
0,13205000.0,13228000.0
1,12988000.0,13310000.0
2,13268000.0,13313000.0
3,13120000.0,13352000.0
4,12944000.0,13403000.0
5,12913000.0,13437000.0
6,13480000.0,13488000.0
7,13471000.0,13503000.0
8,13266000.0,13525000.0
9,13238000.0,13542000.0
10,13412000.0,13553000.0
11,13050000.0,13554000.0
12,13529000.0,13558000.0
13,13167000.0,13560000.0
14,13516000.0,13582000.0
15,13007000.0,13605000.0
16,13602000.0,13607000.0
17,13497000.0,13612000.0
18,13205000.0,13624000.0
19,13528000.0,13656000.0
20,13659000.0,13697000.0
21,13748000.0,13757000.0
22,13782000.0,13783000.0
23,13656000.0,13792000.0
24,13820000.0,13868000.0
