time,numberMonsInNetwork
4950000.0,2653.0
4951000.0,2669.0
4952000.0,2663.0
4953000.0,2662.0
4954000.0,2658.0
4955000.0,2660.0
4956000.0,2676.0
4957000.0,2674.0
4958000.0,2675.0
4959000.0,2662.0
4960000.0,2674.0
4961000.0,2658.0
4962000.0,2651.0
4963000.0,2649.0
4964000.0,2648.0
4965000.0,2645.0
4966000.0,2640.0
4967000.0,2646.0
4968000.0,2655.0
4969000.0,2648.0
4970000.0,2651.0
4971000.0,2649.0
4972000.0,2653.0
4973000.0,2631.0
4974000.0,2638.0
4975000.0,2657.0
4976000.0,2674.0
4977000.0,2664.0
4978000.0,2675.0
4979000.0,2661.0
4980000.0,2644.0
4981000.0,2644.0
4982000.0,2646.0
4983000.0,2670.0
4984000.0,2655.0
4985000.0,2649.0
4986000.0,2652.0
4987000.0,2655.0
4988000.0,2662.0
4989000.0,2650.0
4990000.0,2659.0
4991000.0,2670.0
4992000.0,2666.0
4993000.0,2656.0
4994000.0,2655.0
4995000.0,2668.0
4996000.0,2662.0
4997000.0,2656.0
4998000.0,2658.0
4999000.0,2672.0
5000000.0,2657.0
5001000.0,2657.0
5002000.0,2658.0
5003000.0,2662.0
5004000.0,2668.0
5005000.0,2678.0
5006000.0,2683.0
5007000.0,2673.0
5008000.0,2658.0
5009000.0,2641.0
5010000.0,2648.0
5011000.0,2662.0
5012000.0,2660.0
5013000.0,2642.0
5014000.0,2642.0
5015000.0,2655.0
5016000.0,2654.0
5017000.0,2661.0
5018000.0,2662.0
5019000.0,2670.0
5020000.0,2674.0
5021000.0,2678.0
5022000.0,2679.0
5023000.0,2678.0
5024000.0,2665.0
5025000.0,2660.0
5026000.0,2663.0
5027000.0,2687.0
5028000.0,2675.0
5029000.0,2672.0
5030000.0,2657.0
5031000.0,2652.0
5032000.0,2641.0
5033000.0,2637.0
5034000.0,2628.0
5035000.0,2621.0
5036000.0,2621.0
5037000.0,2630.0
5038000.0,2632.0
5039000.0,2624.0
5040000.0,2627.0
5041000.0,2627.0
5042000.0,2626.0
5043000.0,2643.0
5044000.0,2629.0
5045000.0,2638.0
5046000.0,2632.0
5047000.0,2631.0
5048000.0,2641.0
5049000.0,2660.0
5050000.0,2676.0
5051000.0,2677.0
5052000.0,2682.0
5053000.0,2685.0
5054000.0,2684.0
5055000.0,2677.0
5056000.0,2665.0
5057000.0,2660.0
5058000.0,2655.0
5059000.0,2647.0
5060000.0,2661.0
5061000.0,2664.0
5062000.0,2657.0
5063000.0,2637.0
5064000.0,2652.0
5065000.0,2647.0
5066000.0,2655.0
