step etot ke peBond peAngle temp press stressX stressY stressZ stressX_N stressY_N stressZ_N AvBondForce NumMons BoxLength BoxVol CurrentConc ConcPref P_add P_remov NreactNuc NreactDeath T_den_add T_den_remov T_id_add T_id_remov NumTot
9900000 23047.7934224303 19012.6822428892 1652.90762389454 3974.96101703771 0.999063726275676 0.164116958216378 -10174.2741745643 -8408.53305611237 -10548.3628905256 -335.513371798139 1149.29239193142 -884.194257596484 -1.45289203288014 7 30.310889 59167.4994828887 0.000118308193876343 0.000253519698480572 0.00417156832722711 0.00146857038591033 0 0 0.444963531892463 2.20287417518891 0.937507914296958 0.0666661038769675 1444
9900020 22989.4483954752 18956.5647640302 1642.75040596424 3966.11944144292 0.996114908385499 0.159203298232333 -9338.65148704489 -8303.44691223118 -10652.3123754792 402.057992500338 1236.19717649825 -875.599636664278 -1.54865043738328 7 30.348889 59241.6762904495 0.000118160059578336 0.000253519698480572 0.00432645474102132 0.00141599579213942 0 0 0.460906782640836 2.12667443878924 0.938683244414898 0.0665826309054419 1444
9900040 23018.9702934737 18966.0859424389 1646.99610639159 3950.54949032073 0.996615219906934 0.155492227317396 -8677.21150257261 -8379.74103085726 -10614.3309516865 1020.27163846482 1156.42306755922 -817.958660905256 -1.61442286057817 7 30.388889 59319.7571405135 0.000118004528970319 0.000253519698480572 0.00449570223071758 0.00136268849531657 0 0 0.478306680867059 2.04931001910737 0.939920434012737 0.0664949901484463 1444
9900060 23031.1636445798 18968.0844538966 1654.89475820707 3937.03541025813 0.996720236141806 0.154296703817606 -8199.83315457963 -8787.24626060822 -10507.5924323269 1479.9726074152 749.01047760058 -806.0553141364 -1.62480052714368 7 30.428889 59397.8379905775 0.000117849407264797 0.000253519698480572 0.00467156245461735 0.0013113903041396 0 0 0.496363450438389 1.97475997163195 0.941157623610565 0.0664075798060594 1444
9900080 22967.6679912999 18914.5143312033 1675.19741440971 3924.6704058863 0.993905274753857 0.155932527904541 -7957.14205778236 -9364.22369482974 -10501.3253701876 1738.5080133075 218.988112557841 -804.952793471525 -1.5927714444098 7 30.468889 59475.9188406415 0.000117694692851331 0.000253519698480572 0.00485429348654896 0.00126202540599207 0 0 0.515101889198904 1.90292191479065 0.942394813208402 0.0663203989708067 1444
9900100 22833.846137581 18790.9075049011 1693.14045855947 3914.61215161289 0.987410078815645 0.158371939242291 -7880.57288725361 -9781.34079233112 -10633.1335823708 1872.9284592621 -133.796410070474 -875.894109474253 -1.54575080967056 7 30.508889 59553.9996907055 0.000117540384127927 0.000253519698480572 0.00504416346138129 0.00121452085267866 0 0 0.534547731147377 1.83369719146096 0.943632002806236 0.066233446739972 1444
9900120 22890.2586878316 18886.1625454002 1708.42565203261 3901.24009149061 0.992415467034509 0.16365675275875 -7983.19829563652 -10221.224218031 -11073.1554709842 1846.56449091345 -533.149294291846 -1204.06723813425 -1.49454762265328 7 30.548889 59632.0805407695 0.000117386479500983 0.000253519698480572 0.00524145096685777 0.00116880645205002 0 0 0.554727681778019 1.76699073348026 0.944869192404066 0.0661467222155682 1444
9900140 22891.474797024 18909.4368513722 1722.28466491251 3883.59821213939 0.9936384672695 0.166055767405591 -8229.08882437768 -10137.6770226833 -11378.8841679386 1676.86384122292 -449.671077432064 -1340.96188532779 -1.48448434827363 7 30.588889 59710.1613908335 0.00011723297738523 0.000253519698480572 0.0054464454506847 0.00112481466373579 0 0 0.575669454756281 1.7027109310876 0.946106382001898 0.0660602245043038 1444
9900160 22964.5375613302 19005.9761493912 1724.92604276985 3872.79894738983 0.998711339659559 0.165288053460074 -8498.95258758586 -9701.11416793545 -11446.7797838707 1467.9647957042 -12.2938359801807 -1347.762769382 -1.51951945643257 7 30.628889 59788.2422408975 0.000117079876203681 0.000253519698480572 0.00565944764345232 0.00108248049882659 0 0 0.597401809978556 1.64076950711272 0.947343571599736 0.0659739527175542 1444
9900180 23032.9230941998 19075.6699607019 1723.04397575845 3864.68137173209 1.00237355617046 0.161309479764926 -8559.53525307032 -9133.17434051407 -11278.3067061415 1425.84350429975 499.107717611671 -1254.00414910553 -1.58123765016082 7 30.668889 59866.3230909615 0.000116927174387579 0.000253519698480572 0.0058807699980127 0.00104174142335741 0 0 0.619954593068946 1.58108139574305 0.948580761197569 0.0658879059713322 1444
9900200 22994.760183637 19056.0521597954 1707.2452033157 3863.00549555504 1.00134269513651 0.154439594927252 -8348.24235701648 -8604.99903392 -10820.1269974862 1557.61849205119 958.310806096797 -903.910713048145 -1.66499035562171 7 30.708889 59944.4039410255 0.000116774870376336 0.000253519698480572 0.00611073714595208 0.00100253726544683 0 0 0.643358776367072 1.52356462570037 0.9498179507954 0.065802083386254 1444
9900220 22902.6570320616 18977.9161832407 1692.40045387756 3864.77499651472 0.997236866253684 0.147139606822146 -8157.41181570157 -8094.35624167972 -10243.2863805662 1649.66464636292 1443.35525993963 -452.714201589905 -1.74234959198203 7 30.748889 60022.4847910895 0.000116622962617488 0.000253519698480572 0.00634968637182168 0.000964810125954238 0 0 0.667646501463234 1.46814020766756 0.951055140393235 0.0657164840875134 1444
9900240 22932.8341749816 19011.2766381607 1693.73473885217 3871.43085146619 0.998989865645185 0.140763743146951 -7576.85790038348 -7964.45791483933 -9838.62593947065 2107.18541490485 1569.03914718417 -104.29416873438 -1.82696379396562 7 30.788889 60100.5656411535 0.000116471449566638 0.000253519698480572 0.00659796810581664 0.000928504292520979 0 0 0.692851123339251 1.41473202581041 0.952292329991068 0.0656311072048502 1444
9900260 22890.5887513469 18916.0726463122 1689.72492271038 3887.27186289993 0.993987159891342 0.137078530448317 -6990.82080134597 -7963.48814683333 -9793.29232797539 2617.44031181388 1628.15877935589 -12.0805563276781 -1.87572989279893 7 30.828889 60178.6464912175 0.000116320329687401 0.000253519698480572 0.0068559464356226 0.000893566156867283 0 0 0.719007256175815 1.3632667332457 0.953529519588903 0.0655459518725186 1444
9900280 23003.5076826151 18982.4444210221 1683.98912806977 3902.38890411883 0.997474812591477 0.135513202859858 -6795.97368279173 -7931.16656713584 -9769.60609768312 2804.47144539872 1721.89751282867 -34.9425935010219 -1.90526716432964 7 30.868889 60256.7273412815 0.000116169601451361 0.000253519698480572 0.00712399963817207 0.000859944135221651 0 0 0.746150820889036 1.31367365131201 0.954766709186736 0.0654610172292636 1444
9900300 23123.3027914365 19060.0109620314 1697.11276365422 3908.68562469305 1.00155071921554 0.135602283761794 -6901.97505207331 -7863.72437532027 -9778.91391583525 2763.74981402749 1837.74767989578 -86.6134438351867 -1.90482653038941 7 30.908889 60334.8081913455 0.000116019263338009 0.000253519698480572 0.0074025207320864 0.000827588591763468 0 0 0.774319094461617 1.26588467250481 0.956003898784565 0.0653763024182855 1444
