step etot ke peBond peAngle temp press stressX stressY stressZ stressX_N stressY_N stressZ_N AvBondForce NumMons BoxLength BoxVol CurrentConc ConcPref P_add P_remov NreactNuc NreactDeath T_den_add T_den_remov T_id_add T_id_remov NumTot
22050000 23831.8561589921 19023.5072975058 1671.75272557267 4563.35413638655 1.00010552782408 0.175302188053037 -9509.63552582586 -10993.4559710426 -10613.4848660635 32.7281714799344 -1051.25335497574 -415.149545460243 -1.31470153374444 4 30.310889 59167.4994828887 6.76046822150529e-05 0.000169013132320381 0.00472482528667821 0.00207457125678372 0 0 0.47247854004332 2.07458877014157 1.00000844191675 0.099999155815451 1441
22050020 23806.8189458697 18982.0625719408 1678.03830100715 4548.88913680916 0.997926692003301 0.171759427133294 -9039.99106442643 -10999.6560675502 -10483.9131580944 396.688595390198 -1045.99222013175 -374.96061054517 -1.35188321161924 4 30.346514 59237.0402399769 6.75253183446621e-05 0.000169013132320381 0.00488910120364509 0.00200486476446033 0 0 0.488332046544162 2.00723806730184 1.0011837720347 0.0998817627624657 1441
22050040 23889.8196746793 19041.1939483329 1685.40793948707 4550.43065754884 1.00103535201393 0.168622080333829 -8607.53337265661 -10798.286383994 -10597.228929584 688.126324173272 -860.149218080106 -536.702135368618 -1.39319672331252 4 30.384014 59310.2410369119 6.74419784858164e-05 0.000169013132320381 0.00506818989646325 0.00193402120546188 0 0 0.505594963637758 1.9387033965968 1.00242096163253 0.0997584885267576 1441
22050060 23923.2090450243 18999.1418332272 1717.91618084982 4548.35743455815 0.998824584455863 0.164621852872211 -8282.01589293514 -10291.5323946013 -10753.8883863146 894.565217388154 -379.622938687781 -758.195930820216 -1.42512621337541 4 30.421514 59383.4418338469 6.73588440897697e-05 0.000169013132320381 0.00525383063871353 0.00186568380427792 0 0 0.523468138257333 1.872508757782 1.00365815123036 0.0996355182064853 1441
22050080 23972.641587215 18981.1198210389 1751.32326333363 4551.46283829378 0.997877129618534 0.160183583127823 -7984.34627215467 -9913.20641310404 -10674.3814867886 1112.50697810001 -32.9654245183348 -757.529854600999 -1.46835684377841 4 30.459014 59456.6426307819 6.72759143976475e-05 0.000169013132320381 0.00544626286737496 0.0017997637961592 0 0 0.541973143480428 1.80857425335164 1.0048953408282 0.0995128506791404 1441
22050100 23975.1139779979 18957.4664563237 1760.94676164789 4556.86319586543 0.996633622812276 0.154480522113478 -7650.08077295946 -9459.11117026121 -10479.4119389212 1399.96912782827 381.453563031576 -565.046511738228 -1.54426266415322 4 30.496514 59529.8434277169 6.7193188654308e-05 0.000169013132320381 0.00564573476004308 0.00173617556432863 0 0 0.561132315009484 1.7468227138018 1.00613253042603 0.0993904848277362 1441
22050120 24024.9274892652 19042.611387047 1756.46723607521 4560.80812961974 1.00110986972883 0.150289045906317 -7365.24851874093 -9133.04202120931 -10374.7634089546 1695.17123009633 658.189048806831 -452.898139814062 -1.6254975471933 4 30.534014 59603.0442246519 6.71106661083193e-05 0.000169013132320381 0.00585250355368914 0.00167483652818781 0 0 0.580968778131481 1.68717960448629 1.00736972002386 0.0992684195407734 1441
22050140 24040.1253281118 19068.8013349393 1777.08236306276 4556.97125839048 1.00248673001284 0.145215983934022 -6940.50496493542 -8867.95227758264 -10189.3766723743 2148.63432774599 872.09184581867 -222.913542367786 -1.7168451498086 4 30.571514 59676.2450215869 6.7028346011936e-05 0.000169013132320381 0.00606683587502842 0.00161566703549923 0 0 0.601506475630231 1.62957293565252 1.00860690962169 0.0991466537122056 1441
22050160 23995.3556176559 19042.7896635193 1798.11120182393 4542.33668399889 1.00111924209548 0.140535483698415 -6579.72036836784 -8466.80920330875 -10144.222234778 2571.97136137754 1236.21565976154 -80.1015262624021 -1.80757689511785 4 30.609014 59749.4458185219 6.69462276210774e-05 0.000169013132320381 0.00628900808292673 0.00155859025840302 0 0 0.622770196685534 1.57393317554933 1.00984409921953 0.0990251862414073 1441
22050180 23910.9661258861 19019.6545279845 1793.35017871278 4523.37645915904 0.999902979680074 0.138562765939907 -6610.69921578967 -8311.5156004922 -9945.3593263679 2608.50240110006 1408.85352269085 198.332789182681 -1.85717674248797 4 30.646514 59822.6466154569 6.68643101953046e-05 0.000169013132320381 0.00651930662328142 0.00150353209313139 0 0 0.644785606793981 1.52019316650155 1.01108128881736 0.0989040160331398 1441
22050200 24029.1127923513 19180.6116794251 1777.04972114579 4514.21733692611 1.00836483344768 0.141950460764357 -6979.59180141211 -8438.9135736804 -10088.2240390893 2339.21483430639 1315.17931374659 118.591658038772 -1.86285099132476 4 30.684014 59895.8474123919 6.67825929977983e-05 0.000169013132320381 0.00675802839683033 0.00145042106328895 0 0 0.667579278747356 1.46828804385002 1.01231847841519 0.0987831419975185 1441
22050220 24028.579152473 19211.4494303505 1771.36232557411 4508.45070998453 1.00998603844862 0.146285743777129 -7227.01579035343 -8736.72356983503 -10354.1111025352 2160.61932953568 1098.56791416555 -34.2005528163487 -1.83315316053167 4 30.721514 59969.0482093269 6.67010752953369e-05 0.000169013132320381 0.00700548114036078 0.00139918822657237 0 0 0.69117872470629 1.41815515765952 1.01355566801303 0.0986625630499801 1441
22050240 23878.8607236593 19115.0217130847 1788.4596920746 4497.85117695349 1.0049166318684 0.147423178006718 -7261.85560791409 -8904.57368848217 -10388.428193125 2177.48050104477 980.929188843541 -124.312035737351 -1.79214297371438 4 30.759014 60042.2490062619 6.66197563582742e-05 0.000169013132320381 0.00726198382180464 0.00134976708480626 0 0 0.715612429407675 1.36973399709963 1.01479285761086 0.0985422781112504 1441
22050260 23870.0339802941 19041.9691580257 1823.76504519059 4490.893325041 1.00107610640726 0.150781688775872 -7479.52745905006 -9176.3770580408 -10537.0226114506 1993.1722443305 753.864459454032 -367.587532595498 -1.72175370731377 4 30.796514 60115.4498031969 6.65386354605182e-05 0.000169013132320381 0.00752786704972599 0.00130209349717784 0 0 0.740909884545942 1.32296611740773 1.01603004720869 0.0984222861073122 1441
22050280 23880.9558930921 19005.0869488503 1847.82520736849 4481.42298844417 0.999137131606358 0.155419802391852 -7870.06614604259 -9757.94006660975 -10435.5183348616 1611.21037160643 250.27864760198 -341.324851742946 -1.63923421402926 4 30.834014 60188.6506001319 6.6457711879509e-05 0.000169013132320381 0.00780347349772526 0.00125610559655581 0 0 0.767101624369858 1.27779506934554 1.01726723680653 0.0983025859693729 1441
22050300 23850.234608756 18975.5582241094 1853.5287659989 4479.32116868396 0.997584744847114 0.158804853439965 -8043.25530925361 -10165.1964306284 -10501.1716975144 1451.98049231678 -115.545726063297 -440.772773731996 -1.57917828699811 4 30.871514 60261.8513970669 6.63769848961974e-05 0.000169013132320381 0.00808915834430121 0.00121174370878438 0 0 0.794219262537569 1.23416633106453 1.01850442640436 0.098183176633833 1441
22050320 23821.1707113372 18947.0814545434 1844.16834301414 4482.06454833323 0.996087661569456 0.160910910602767 -8066.4055891743 -10309.9909619547 -10749.3080182781 1429.54847568649 -206.941947708296 -623.631365503055 -1.5527044014298 4 30.909014 60335.0521940019 6.62964537950239e-05 0.000169013132320381 0.00838528972873596 0.0011689502748458 0 0 0.822295530274598 1.19202724229746 1.01974161600219 0.0980640570422547 1441
22050340 23895.8287317486 19017.3723513633 1835.77848171664 4473.81606082621 0.999783000886537 0.160465783339857 -7943.34124933625 -10326.8659695669 -10810.1656902455 1504.08288140272 -254.429927600562 -669.990199241103 -1.57064223728399 4 30.946514 60408.2529909369 6.62161178638972e-05 0.000169013132320381 0.00869224922358377 0.00112766977578978 0 0 0.851364315880713 1.1513269407971 1.02097880560003 0.0979452261413303 1441
22050360 23860.0257905364 18967.3748542344 1848.29854081981 4461.44367637214 0.997154527993818 0.154603584991024 -7539.78173378987 -9944.6399162954 -10567.5270931365 1832.50704434482 60.0975824541985 -509.930242432016 -1.62688654747202 4 30.984014 60481.4537878719 6.61359763941736e-05 0.000169013132320381 0.00901043232436853 0.00108784866033101 0 0 0.881460705633399 1.11201630094492 1.02221599519786 0.0978266828828519 1441
22050380 23912.3601213532 19002.6132846277 1868.99820825508 4450.31691454229 0.99900708590951 0.149336695970821 -7219.18709286699 -9503.89368011447 -10406.0153510666 2091.92940405346 429.100713704836 -373.573925083392 -1.69666565479001 4 31.021514 60554.6545848069 6.60560286806358e-05 0.000169013132320381 0.00934024895711722 0.00104943527502 0 0 0.912621026137292 1.07404787445616 1.02345318479569 0.0977084262236796 1441
22050400 23958.6761743163 19027.5909499115 1879.8464065245 4441.48165986401 1.00032021396375 0.144813576175757 -6723.84297594255 -9160.55761793665 -10454.8090672106 2538.20748265547 731.933919234518 -361.60093494049 -1.77735951536925 4 31.059014 60627.8553817419 6.59762740214723e-05 0.000169013132320381 0.0096821240043769 0.00101237979689544 0 0 0.944882888170715 1.03737583310923 1.02469037439353 0.0975904551257114 1441
22050420 23982.9707510733 19045.1947818901 1887.57089716199 4443.99317100039 1.00124568419368 0.138987897772372 -6221.75540481762 -8734.39112945021 -10353.9900382429 2945.28657730359 1089.42817224764 -235.329380150793 -1.8821574704915 4 31.096514 60701.0561786769 6.58967117182571e-05 0.000169013132320381 0.0100364978503883 0.000976634168530039 0 0 0.978285232082218 1.00195591343075 1.02592756399136 0.0974727685558531 1441
